,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.roughnessCoating1,PremirrorM2.roughnessCoating1,PG.roughnessSubstrate,M3.roughnessCoating1,KB_ver.roughnessCoating1,KB_hor.roughnessCoating1,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
50,50,0.03,750.0,5,1,400000.0,0.0,0.0,0.0,0.2,0.0,0.0,,0.75,28839.6,7.2099,750.0,0.0709170706424288,0.009069214521031,0.0096860174276429,-0.000550928961323,1.4226156535117617e-08,81545876190557.0,10.610484445368805,76.50461032497566,865287380070080.5,0.0026641067133544,0.001506167679582
51,51,0.03,750.0,5,1,400000.0,0.0,0.0,0.0,0.3,0.0,0.0,,0.75,28823.7,7.205924999999999,750.0,0.0711445804456502,0.0092678088089658,0.0096956938148707,-0.0005738814901031,9.56340514352585e-06,81500917889074.67,10.57841638842319,76.23749647101945,862266251723849.0,0.002662637924025,0.0015053372912928
52,52,0.03,750.0,5,1,400000.0,0.0,0.0,0.0,0.4,0.0,0.0,,0.75,28878.9,7.219724999999999,750.0,0.0723597499714514,0.0093642505907888,0.0096754379049994,-0.0005760549108709,5.874515606287274e-06,81656999539503.89,10.39102874068418,75.01413650677726,848429726920373.4,0.0026677371171684,0.0015082201487496
53,53,0.03,750.0,5,1,400000.0,0.0,0.0,0.0,0.5,0.0,0.0,,0.75,28879.2,7.219799999999999,750.0,0.0710387378443897,0.009050162918279,0.0096420015710097,-0.0005594761872405,-5.3812192605418565e-06,81657847809343.19,10.57874283621939,76.37335768335569,863802877973903.6,0.0026677648301746,0.0015082358164532
54,54,0.03,750.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.1,0.0,,0.75,28962.2,7.240550000000001,750.0,0.0728015785321872,0.0091940594302084,0.0098024900223214,-0.0005724419985482,-6.205036860852679e-06,81892535798213.22,10.318974038488626,74.71059207510112,844996559103372.4,0.0026754320952271,0.0015125705477742
55,55,0.03,750.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.2,0.0,,0.75,28832.8,7.2082,750.0,0.0698708904143017,0.0091170926285436,0.0096773951149208,-0.0005720659148305,5.605550313439305e-06,81526648740866.44,10.746712526904677,77.45805496743061,876071091185100.4,0.0026634785518802,0.0015058125449677
56,56,0.03,750.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.3,0.0,,0.75,28909.1,7.227275000000001,750.0,0.0742169250022925,0.0089682350093673,0.0097247211493984,-0.0005676837990695,1.144912972107246e-05,81742392036659.03,10.119476077640211,73.13796975007412,827209784611194.0,0.0026705268931273,0.0015097973642424
57,57,0.03,750.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.4,0.0,,0.75,28891.3,7.222825,750.0,0.0735960095368568,0.0091849081312043,0.0097531679289116,-0.0005602511594631,-7.272639439042458e-07,81692061359527.84,10.232575962908646,73.90964014189915,835937580867963.2,0.0026688825880919,0.0015088677471639
58,58,0.03,750.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.5,0.0,,0.75,28870.5,7.217624999999998,750.0,0.07242863697561,0.0090518528133074,0.0096540590628116,-0.0005657998010249,-2.2892869928146683e-06,81633247984003.8,10.382065062244427,74.91686541129148,847329565099903.9,0.0026669611529944,0.0015077814530497
59,59,0.03,750.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.1,,0.75,28921.7,7.230424999999999,750.0,0.071654471526142,0.0093185121854852,0.0097528039983319,-0.0005693274672726,-2.8817883097073173e-06,81778019369909.16,10.484094596273478,75.80004761708446,857318589470185.9,0.0026716908393882,0.0015104554077923
60,60,0.03,750.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.2,,0.75,28897.4,7.224349999999999,750.0,0.0744535752063029,0.0093358247475535,0.0096729678485665,-0.0005697409562647,-3.9677334749236404e-07,81709309512926.72,10.091361085037857,72.9012890222568,824532862971881.1,0.0026694460858849,0.0015091863238031
61,61,0.03,750.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.3,,0.75,28901.0,7.22525,750.0,0.071548197186496,0.0089963484860053,0.0097641430133126,-0.00057522132962,-1.3645428679757275e-06,81719488750998.2,10.52076688277836,76.02412241499796,859852934707717.6,0.0026697786419595,0.001509374336246
62,62,0.03,750.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.4,,0.75,28889.3,7.222325,750.0,0.0741157877632872,0.0091978772137383,0.0096626319897821,-0.000561248690665,1.3640643823534164e-06,81686406227265.92,10.139047534575132,73.22394383291459,828182174230315.5,0.0026686978347172,0.0015087632958067
63,63,0.03,750.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.5,,0.75,28801.1,7.200275,750.0,0.0731667059125583,0.0090544044885585,0.0096480758375429,-0.000569693431452,-5.446618742382015e-06,81437014894514.88,10.292629092820729,74.12262499816316,838346495931885.0,0.0026605502108903,0.0015041569909572
64,64,0.03,1000.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,35542.6,8.88565,1000.0,0.1082154992275035,0.0092192293270095,0.0097018954237864,-0.0005321066502298,2.9706644320056865e-06,67690857749460.92,9.267694894712577,82.35227446157288,627359404874476.6,0.0029566425289888,0.0015579131213669
65,65,0.03,1000.0,5,1,400000.0,0.3,0.3,0.3,0.3,0.3,0.3,,1.0,35608.7,8.902175000000002,1000.0,0.1064942986781488,0.0093054420326304,0.0097875500492166,-0.0005351387222876,3.942808148408944e-06,67816745154919.125,9.415050346186591,83.80453329193365,638422708729720.4,0.0029621411157879,0.0015608104349378
66,66,0.03,1000.0,5,1,400000.0,0.1,0.0,0.0,0.0,0.0,0.0,,1.0,35618.2,8.90455,1000.0,0.1081425451609675,0.0092950208520909,0.0096178075745035,-0.0005258972134646,9.48723667032977e-06,67834837898517.52,9.27434219227153,82.59011914814945,629171305055726.2,0.0029629313816667,0.0015612268415781
67,67,0.03,1000.0,5,1,400000.0,0.2,0.0,0.0,0.0,0.0,0.0,,1.0,35528.2,8.882049999999998,1000.0,0.1102982339417735,0.0092205664657491,0.0096944645760274,-0.0005240637511765,-4.878376462712689e-07,67663432959164.42,9.100099930460669,80.82654310489738,615736387511806.0,0.0029554446522882,0.0015572819365648
