Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,PremirrorM2.slopeErrorMer,PG.slopeErrorMer,M3.slopeErrorSag,KB_ver.slopeErrorMer,KB_hor.slopeErrorMer
283,0.03,500.0,2.25,1,500000.0,2,0,0.05,0,0.05,0.05
284,0.03,500.0,2.25,1,500000.0,2,0,0.05,0,0.05,0
285,0.03,500.0,2.25,1,500000.0,2,0,0.05,0,0,0.2
286,0.03,500.0,2.25,1,500000.0,2,0,0.05,0,0,0.05
287,0.03,500.0,2.25,1,500000.0,2,0,0.05,0,0,0
288,0.03,500.0,2.25,1,500000.0,2,0,0,2,0.2,0.2
289,0.03,500.0,2.25,1,500000.0,2,0,0,2,0.2,0.05
290,0.03,500.0,2.25,1,500000.0,2,0,0,2,0.2,0
291,0.03,500.0,2.25,1,500000.0,2,0,0,2,0.05,0.2
292,0.03,500.0,2.25,1,500000.0,2,0,0,2,0.05,0.05
293,0.03,500.0,2.25,1,500000.0,2,0,0,2,0.05,0
294,0.03,500.0,2.25,1,500000.0,2,0,0,2,0,0.2
295,0.03,500.0,2.25,1,500000.0,2,0,0,2,0,0.05
296,0.03,500.0,2.25,1,500000.0,2,0,0,2,0,0
297,0.03,500.0,2.25,1,500000.0,2,0,0,1,0.2,0.2
298,0.03,500.0,2.25,1,500000.0,2,0,0,1,0.2,0.05
299,0.03,500.0,2.25,1,500000.0,2,0,0,1,0.2,0
300,0.03,500.0,2.25,1,500000.0,2,0,0,1,0.05,0.2
301,0.03,500.0,2.25,1,500000.0,2,0,0,1,0.05,0.05
302,0.03,500.0,2.25,1,500000.0,2,0,0,1,0.05,0
303,0.03,500.0,2.25,1,500000.0,2,0,0,1,0,0.2
304,0.03,500.0,2.25,1,500000.0,2,0,0,1,0,0.05
305,0.03,500.0,2.25,1,500000.0,2,0,0,1,0,0
306,0.03,500.0,2.25,1,500000.0,2,0,0,0.5,0.2,0.2
307,0.03,500.0,2.25,1,500000.0,2,0,0,0.5,0.2,0.05
308,0.03,500.0,2.25,1,500000.0,2,0,0,0.5,0.2,0
309,0.03,500.0,2.25,1,500000.0,2,0,0,0.5,0.05,0.2
310,0.03,500.0,2.25,1,500000.0,2,0,0,0.5,0.05,0.05
311,0.03,500.0,2.25,1,500000.0,2,0,0,0.5,0.05,0
312,0.03,500.0,2.25,1,500000.0,2,0,0,0.5,0,0.2
313,0.03,500.0,2.25,1,500000.0,2,0,0,0.5,0,0.05
314,0.03,500.0,2.25,1,500000.0,2,0,0,0.5,0,0
315,0.03,500.0,2.25,1,500000.0,2,0,0,0,0.2,0.2
316,0.03,500.0,2.25,1,500000.0,2,0,0,0,0.2,0.05
317,0.03,500.0,2.25,1,500000.0,2,0,0,0,0.2,0
318,0.03,500.0,2.25,1,500000.0,2,0,0,0,0.05,0.2
319,0.03,500.0,2.25,1,500000.0,2,0,0,0,0.05,0.05
320,0.03,500.0,2.25,1,500000.0,2,0,0,0,0.05,0
321,0.03,500.0,2.25,1,500000.0,2,0,0,0,0,0.2
322,0.03,500.0,2.25,1,500000.0,2,0,0,0,0,0.05
323,0.03,500.0,2.25,1,500000.0,2,0,0,0,0,0
324,0.03,500.0,2.25,1,500000.0,0.5,0.2,0.2,2,0.2,0.2
325,0.03,500.0,2.25,1,500000.0,0.5,0.2,0.2,2,0.2,0.05
326,0.03,500.0,2.25,1,500000.0,0.5,0.2,0.2,2,0.2,0
327,0.03,500.0,2.25,1,500000.0,0.5,0.2,0.2,2,0.05,0.2
328,0.03,500.0,2.25,1,500000.0,0.5,0.2,0.2,2,0.05,0.05
329,0.03,500.0,2.25,1,500000.0,0.5,0.2,0.2,2,0.05,0
330,0.03,500.0,2.25,1,500000.0,0.5,0.2,0.2,2,0,0.2
331,0.03,500.0,2.25,1,500000.0,0.5,0.2,0.2,2,0,0.05
332,0.03,500.0,2.25,1,500000.0,0.5,0.2,0.2,2,0,0
333,0.03,500.0,2.25,1,500000.0,0.5,0.2,0.2,1,0.2,0.2
334,0.03,500.0,2.25,1,500000.0,0.5,0.2,0.2,1,0.2,0.05
335,0.03,500.0,2.25,1,500000.0,0.5,0.2,0.2,1,0.2,0
336,0.03,500.0,2.25,1,500000.0,0.5,0.2,0.2,1,0.05,0.2
337,0.03,500.0,2.25,1,500000.0,0.5,0.2,0.2,1,0.05,0.05
338,0.03,500.0,2.25,1,500000.0,0.5,0.2,0.2,1,0.05,0
339,0.03,500.0,2.25,1,500000.0,0.5,0.2,0.2,1,0,0.2
340,0.03,500.0,2.25,1,500000.0,0.5,0.2,0.2,1,0,0.05
341,0.03,500.0,2.25,1,500000.0,0.5,0.2,0.2,1,0,0
342,0.03,500.0,2.25,1,500000.0,0.5,0.2,0.2,0.5,0.2,0.2
