,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,PremirrorM2.slopeErrorMer,PG.slopeErrorMer,M3.slopeErrorSag,KB_ver.slopeErrorMer,KB_hor.slopeErrorMer,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
72,72,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.0,2.0,0.2,0.2,,10753.65,5.376825000000002,500.0,0.0488584922037687,0.0144102640881427,0.0096260206469473,74591635251347.72,10.259153239209216,55.168777100748926,765345589406753.6,0.0016185723946317,0.0009050801225434
73,73,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.0,2.0,0.2,0.05,,10737.75,5.368875000000001,500.0,0.0480067309998616,0.0142389605937232,0.00949382140504,74481346465633.42,10.447166822359044,56.07975232021669,777983369377936.4,0.0016161792257008,0.0009037419002702
74,74,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.0,2.0,0.2,0.0,,10775.2,5.387600000000001,500.0,0.0481870178802494,0.0140289767900018,0.0094970444395277,74741114706199.47,10.429749429786876,56.189917387097424,779511667674088.8,0.001621815966359,0.0009068938766307
75,75,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.0,2.0,0.05,0.2,,10727.25,5.363625000000001,500.0,0.0485804824973171,0.0147338795756414,0.0097003452208851,74408514248652.3,10.327213627873215,55.39264116476038,768451211518060.2,0.0016145988311237,0.0009028581685803
76,76,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.0,2.0,0.05,0.05,,10743.75,5.371875,500.0,0.0484018026205773,0.0143352867073703,0.0095595648016922,74522964875336.9,10.352176185742156,55.61174849389679,771490844382406.8,0.0016170823083162,0.0009042468898072
77,77,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.0,2.0,0.05,0.0,,10720.25,5.360125,500.0,0.0479376553790444,0.0143450908001696,0.0096530350374388,74359959437331.53,10.470342255833009,56.12088033657697,778553930256328.0,0.001613545234739,0.0009022690141204
78,78,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.0,2.0,0.0,0.2,,10726.25,5.363125000000001,500.0,0.0486356825560931,0.0145172160930307,0.0099361516336818,74401577847035.03,10.295247307926818,55.20970158157794,765913326676768.8,0.0016144483173545,0.0009027740036575
79,79,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.0,2.0,0.0,0.05,,10734.15,5.367074999999999,500.0,0.0482909702129517,0.0142684572681372,0.0098299890579513,74456375419811.31,10.379656664172236,55.70698863344961,772812092098449.6,0.0016156373761315,0.0009034389065479
80,80,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.0,2.0,0.0,0.0,,10686.35,5.343175,500.0,0.0486477920967274,0.0143351286318292,0.009899077610914,74124815422506.75,10.28964918421992,54.978893440091326,762711370745003.8,0.0016084428179616,0.000899415823236
81,81,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.0,1.0,0.2,0.2,,10721.5,5.360749999999999,500.0,0.048132655077623,0.0146528914776509,0.0096465935838628,74368629939353.1,10.426568038751196,55.89148376428688,775371556746278.6,0.0016137333769505,0.0009023742202739
