,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
47,47,0.04,1600,5.0,1,500000.0,,3178.565,0.635713,,80.0,0.01081514990558446,0.0009335297211421395,0.0007208893171792586,0.37042827129227135,4.709431369707604,,,
48,48,0.04,1700,1.5,1,500000.0,,4491.9125,0.8983824999999999,,85.0,0.016261631393783775,0.0009588048947754416,0.0007303021674989134,0.26206519638035985,4.708688650963939,,,
49,49,0.04,1700,2.25,1,500000.0,,3737.975,0.747595,,85.0,0.012911249137001164,0.0009328822812990397,0.00072731503388082,0.32956171737319645,4.9274952592803505,,,
50,50,0.04,1700,3.0,1,500000.0,,3552.2,0.7104400000000001,,85.0,0.012179103492101715,0.0009349694890101984,0.0007205674230142155,0.3494767408603811,4.965432393193988,,,
51,51,0.04,1700,5.0,1,500000.0,,3295.405,0.659081,,85.0,0.01183217767401402,0.000906444216996893,0.0007184015389498137,0.35974254152457363,4.742186076113607,,,
52,52,0.04,1800,1.5,1,500000.0,,4623.74,0.9247479999999998,,90.0,0.0175978033648812,0.0009371651728066,0.0007322407115117274,0.25607921038516573,4.736400239270629,,,
53,53,0.04,1800,2.25,1,500000.0,,3849.555,0.769911,,90.0,0.014067137297338378,0.0009527049412826275,0.000731327228941608,0.32055883187006673,4.935820577558401,,,
54,54,0.04,1800,3.0,1,500000.0,,3656.8475,0.7313695000000001,,90.0,0.013361952626598847,0.0009508093101803949,0.0007258913688889781,0.3373605839060544,4.93485313902967,,,
55,55,0.04,1800,5.0,1,500000.0,,3405.005,0.681001,,90.0,0.012819796465935836,0.0009362698905704797,0.0007201379652546577,0.35138377098107,4.786036700297825,,,
56,56,0.04,1900,1.5,1,500000.0,,4752.4575,0.9504915,,95.0,0.019089485119951632,0.0009267973721667083,0.0007357028837997152,0.24936517136597555,4.740580185467706,,,
57,57,0.04,1900,2.25,1,500000.0,,3953.2375,0.7906475,,95.0,0.015365655745756043,0.0009227321304976323,0.0007276346716869128,0.30940753980888414,4.892517131223611,,,
58,58,0.04,1900,3.0,1,500000.0,,3758.6625,0.7517324999999998,,95.0,0.014339842397848768,0.0009526408724995597,0.000729146273814914,0.33184121154326934,4.988952715645814,,,
59,59,0.04,1900,5.0,1,500000.0,,3508.0,0.7016000000000001,,95.0,0.013905798761932148,0.000956577230005498,0.0007233455466670881,0.34208446882235605,4.800071104503745,,,
60,60,0.04,2000,1.5,1,500000.0,,4879.185,0.975837,,100.0,0.02095173014266265,0.0009372366619620376,0.0007358290151839822,0.23904172594518508,4.6654654113402625,,,
61,61,0.04,2000,2.25,1,500000.0,,4063.0525,0.8126104999999998,,100.0,0.016408813056236794,0.0009309217475747985,0.0007295268678855323,0.3050131395487775,4.957151775559284,,,
62,62,0.04,2000,3.0,1,500000.0,,3858.6025,0.7717205,,100.0,0.015615576574717807,0.000921233804791633,0.0007255948559135426,0.32053715747748207,4.9469836406556285,,,
63,63,0.04,2000,5.0,1,500000.0,,3610.8025,0.7221605,,100.0,0.014739799764985831,0.0009530425500474534,0.0007193569076402245,0.3395808879526062,4.904672266313464,,,
64,64,0.04,2100,1.5,1,500000.0,,4999.68,0.999936,,105.0,0.021983996353008024,0.0009219245948797088,0.0007362949932217248,0.23941920768893887,4.788177053910535,,,
65,65,0.04,2100,2.25,1,500000.0,,4156.265,0.8312529999999998,,105.0,0.017387955502523485,0.0009245051602615576,0.0007383339243135302,0.30260181297047445,5.030777684239556,,,
66,66,0.04,2100,3.0,1,500000.0,,3954.48,0.7908959999999998,,105.0,0.01670754944943383,0.0009365130560520328,0.000729012875082248,0.31475304919608,4.978738775776368,,,
67,67,0.04,2100,5.0,1,500000.0,,3712.05,0.74241,,105.0,0.016089296860543528,0.000953240523994503,0.0007197105820553776,0.3268094600314478,4.852596360241961,,,
68,68,0.04,2200,1.5,1,500000.0,,5117.907499999999,1.0235815,,110.0,0.02414544965157802,0.0009399884314942716,0.0007389541126116477,0.22869350692321824,4.681768391256293,,,
69,69,0.04,2200,2.25,1,500000.0,,4255.585,0.8511170000000001,,110.0,0.01913531917365958,0.000931940173039296,0.0007322486013549801,0.28776424024456865,4.898486854742664,,,
70,70,0.04,2200,3.0,1,500000.0,,4046.39,0.8092780000000002,,110.0,0.017900072457450733,0.0009658639605825999,0.0007282740129567891,0.30760218046966936,4.978774775653143,,,
71,71,0.04,2200,5.0,1,500000.0,,3809.7375,0.7619475,,110.0,0.0174975722704346,0.0009204455739269648,0.0007255389060392227,0.3145551148860617,4.7935706379451695,,,
72,72,0.04,2300,1.5,1,500000.0,,5243.0375,1.0486075,,115.0,0.025433208101266015,0.0009370706219931816,0.0007331991245762067,0.22668725526693556,4.754071917480866,,,
73,73,0.04,2300,2.25,1,500000.0,,4352.405000000001,0.8704810000000002,,115.0,0.02010018558405477,0.0009281826454193597,0.0007316314048146252,0.2865090771719069,4.988126833775594,,,
74,74,0.04,2300,3.0,1,500000.0,,4134.785,0.8269569999999998,,115.0,0.019259819672606683,0.0009184934841810464,0.0007272083719385904,0.298845236439322,4.94260106018808,,,
75,75,0.04,2300,5.0,1,500000.0,,3897.905,0.779581,,115.0,0.018415870762611343,0.0009181164998119409,0.0007217470057621386,0.3124643043771508,4.871962188248536,,,
76,76,0.04,2400,1.5,1,500000.0,,5348.8825,1.0697765,,120.0,0.02706654392447604,0.0009457610190777366,0.0007344332134272931,0.22209393642718897,4.752040268499881,,,
77,77,0.04,2400,2.25,1,500000.0,,4451.0575,0.8902115,,120.0,0.02148551991146292,0.0009417431037843436,0.0007236613707748379,0.2795911237802359,4.977985012991859,,,
78,78,0.04,2400,3.0,1,500000.0,,4225.8275,0.8451655000000001,,120.0,0.020198559048349125,0.0009448218065155456,0.0007245047993454707,0.29743229521944403,5.027558477101364,,,
79,79,0.04,2400,5.0,1,500000.0,,3993.4,0.7986799999999998,,120.0,0.019694515542679484,0.0009493990192270344,0.0007119764569327137,0.30495517311673315,4.871173266805935,,,
80,80,0.04,2500,1.5,1,500000.0,,5461.505,1.0923009999999995,,125.0,0.028160441959827264,0.0009356627141152057,0.0007401987922364202,0.22251057130274307,4.861057549361042,,,
81,81,0.04,2500,2.25,1,500000.0,,4544.925,0.908985,,125.0,0.02301782696186933,0.0009264018449859189,0.0007252463930004775,0.27199812143726226,4.944982001383412,,,
82,82,0.04,2500,3.0,1,500000.0,,4322.7625,0.8645525,,125.0,0.021728951303961137,0.0009094551610696456,0.0007288161823804205,0.2878606679003517,4.977520952227019,,,
83,83,0.04,2500,5.0,1,500000.0,,4082.7575,0.8165514999999999,,125.0,0.020756771711916144,0.0009350179933070421,0.0007169808371504632,0.30139103745685814,4.922004800354209,,,
