,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,PremirrorM2.slopeErrorMer,PG.slopeErrorMer,M3.slopeErrorSag,KB_ver.slopeErrorMer,KB_ver.slopeErrorSag,KB_hor.slopeErrorMer,KB_hor.slopeErrorSag,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
61,61,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.3,0.0,0.1,,10898.0,5.449,500.0,0.048006430526243,0.0107240484776843,0.0099657438639145,75592904824797.84,10.415271340089973,56.75281353215025,787320615135865.9,0.0016402990572222,0.000917229329156
62,62,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.3,0.0,0.0,,10709.0,5.3545,500.0,0.0441031190478042,0.0100865856534849,0.0097668772640347,74281924919137.45,11.337066647328042,60.70432336311799,842139133500078.9,0.001611851954835,0.0009013221587384
63,63,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.1,0.2,0.3,,10758.0,5.379,500.0,0.0405332979107697,0.010720645035329,0.0099701601964788,74621808598382.75,12.335537095962508,66.35285403918232,920500088133164.4,0.001619227129528,0.0009054462399578
64,64,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.1,0.2,0.1,,10799.0,5.3995,500.0,0.0462405469773443,0.0110273923414352,0.0100734417323637,74906201064690.02,10.813020880678074,58.38490624522125,809962316204763.2,0.001625398194067,0.0009088970017944
65,65,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.1,0.2,0.0,,10589.0,5.2945,500.0,0.0431567288843552,0.0120139284492436,0.0096841447897639,73449556725067.39,11.585678825191373,61.34037653997573,850962974069305.9,0.0015937903025258,0.0008912223679971
66,66,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.1,0.05,0.3,,10754.0,5.377,500.0,0.0439565858813466,0.0098538727015177,0.0096146987921758,74594062991913.75,11.374859761621732,61.16262093824005,848497005582596.5,0.001618625074451,0.0009051095802664
67,67,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.1,0.05,0.1,,10729.0,5.3645,500.0,0.0406489949018578,0.0095936825462746,0.0096778939584844,74420652951482.47,12.30042713742839,65.9856413787346,915405819149555.2,0.0016148622302199,0.0009030054571953
68,68,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.1,0.05,0.0,,10733.0,5.366499999999999,500.0,0.0435748649287006,0.0101426786671439,0.0096530594174547,74448398557951.47,11.474504873810272,61.57793040530281,854258512100583.6,0.0016154642852969,0.0009033421168867
69,69,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.1,0.0,0.3,,10915.0,5.4575,500.0,0.0414386831927799,0.0108399978978193,0.0097053294121674,75710823652291.11,12.066020478351415,65.85030676060285,913528348621397.2,0.0016428577912993,0.0009186601328443
70,70,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.1,0.0,0.1,,10826.0,5.412999999999999,500.0,0.0439887082301879,0.0103331286140502,0.0100023259358426,75093483908355.78,11.366553375096997,61.52715341940003,853554092966313.2,0.0016294620658366,0.0009111694547112
