,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
151,151,0.02,5140,2,500000.0,6.05046240373416,,2345.75,0.46915,,2570.0,0.1339037518459918,0.009393632067796125,0.003450318246728604,9.611038008548935,9.014179572390569,
152,152,0.02,5180,2,500000.0,6.06719135785489,,2206.25,0.44125,,2590.0,0.14987685985352073,0.00887453342207639,0.003645538043729208,8.659065980901737,7.63491656657809,
153,153,0.02,5220,2,500000.0,6.13182087478199,,2080.5,0.4161,,2610.0,0.14817093734495757,0.008953258488523854,0.0035684212399135903,8.867050032823844,7.3884684530118925,
154,154,0.02,5260,2,500000.0,6.18704915255539,,2065.0,0.413,,2630.0,0.14914449154412068,0.009601331282040352,0.0036625767771686006,8.832768383414889,7.293549410589726,
155,155,0.02,5300,2,500000.0,6.20709113408728,,1872.75,0.37455,,2650.0,0.13637637103147426,0.00846233404624748,0.0035006282388238413,9.717990887085392,7.2811165132941795,
156,156,0.02,5340,2,500000.0,6.29518269467762,,1783.0,0.3566,,2670.0,0.14825139387176023,0.009323045865699132,0.003718702606347747,9.012982725530543,6.4329489292451125,
157,157,0.02,5380,2,500000.0,6.32906861969231,,1658.25,0.33165,,2690.0,0.15456599555750472,0.00847736492600923,0.003590104307574355,8.701935377356074,5.771743802883357,
158,158,0.02,5420,2,500000.0,6.36385203035625,,1610.25,0.32205,,2710.0,0.15037886998493377,0.00960234020125693,0.0035375734713963738,9.029624894432692,5.8147786159124495,
159,159,0.02,5460,2,500000.0,6.39955377027064,,1517.0,0.3034,,2730.0,0.15201495151882227,0.00971577877266288,0.003436898319144045,9.031140679750976,5.491445744760954,
160,160,0.02,5500,2,500000.0,6.43619560112135,,1449.0,0.28980000000000006,,2750.0,0.1588751344281718,0.009078232322147856,0.003703354031771784,8.65551219765273,5.016592337083177,
161,161,0.02,5540,2,500000.0,6.47380024286971,,1363.25,0.27265,,2770.0,0.1523852181444454,0.009066165763844737,0.003375233122707263,9.103873487167071,4.962527533576465,
162,162,0.02,5580,2,500000.0,6.57487849067915,,1301.0,0.2602,,2790.0,0.155390368947792,0.008844747653838265,0.00359866752171232,8.979200093326611,4.672597263044136,
163,163,0.02,5620,2,500000.0,6.61550323964032,,1210.25,0.24205,,2810.0,0.1720583195533436,0.00828063352851266,0.0036063341934555737,8.183859284019118,3.961614250120384,
164,164,0.02,5660,2,500000.0,6.65719616369663,,1148.5,0.2297,,2830.0,0.15970274334495116,0.008439539066689221,0.003460790470951552,8.861445704492173,4.0714502433151205,
165,165,0.02,5700,2,500000.0,6.50695469362058,,1112.25,0.22245,,2850.0,0.16141707722749743,0.009145733627805967,0.0034556758384064776,8.829757797221255,3.9285427817076743,
166,166,0.02,5740,2,500000.0,6.54761845812481,,1055.25,0.21105,,2870.0,0.1672250925046228,0.00834113872234343,0.0037144316979765457,8.581480266928574,3.621720534983932,
167,167,0.02,5780,2,500000.0,6.58933858255238,,1018.0,0.2036,,2890.0,0.1500330816645601,0.009514822723132952,0.003345335547203908,9.657419692223929,3.932400675516392,
168,168,0.02,5820,2,500000.0,6.44115787871136,,993.75,0.19875,,2910.0,0.14957925937142136,0.008877337879097141,0.003481953755755837,9.727898341885624,3.8660899798081503,
169,169,0.02,5860,2,500000.0,6.48184465903661,,965.75,0.19315,,2930.0,0.17235352467400844,0.00908158970146931,0.003567256848099119,8.539111749862627,3.296982314465722,
170,170,0.02,5900,2,500000.0,6.85985152170491,,900.75,0.18015,,2950.0,0.16088873138937743,0.009492784290868308,0.003696723639879535,9.169066441934007,3.302900289074199,
171,171,0.02,5940,2,500000.0,6.83721920171921,,883.0,0.17659999999999995,,2970.0,0.15681623914838383,0.008899043776956706,0.0035530633754394794,9.486328441885709,3.34699481126531,
172,172,0.02,5980,2,500000.0,7.51518993117889,,1094.75,0.21895,,2990.0,0.18506037984320756,0.008040466191499113,0.003504333519094005,8.080631196558253,3.5390002397500298,
173,173,0.05,502,2,500000.0,1.17662360156545,,12537.75,2.50755,,251.0,0.024579623177160666,0.009766888828565199,0.00949022308820821,5.107437011434623,25.615215139869186,
174,174,0.05,522,2,500000.0,1.184814908884,,12574.75,2.51495,,261.0,0.022106118061742563,0.009124673533795712,0.009264939311059683,5.917668405409536,29.777363319467366,
175,175,0.05,542,2,500000.0,1.19557065892945,,12227.5,2.4455,,271.0,0.024894142044217915,0.008696950198250567,0.009128538414078947,5.452324065306399,26.667227044917706,
176,176,0.05,562,2,500000.0,1.20653239223348,,11275.75,2.2551499999999995,,281.0,0.02560196399343795,0.009340140882110746,0.009243902859119076,5.488152915381259,24.753300259565616,
177,177,0.05,582,2,500000.0,1.21559007975785,,7945.5,1.5891,,291.0,0.026261736777883012,0.009442497635308942,0.009133234157577389,5.540385249258248,17.608576977833533,
178,178,0.05,602,2,500000.0,1.22050059246538,,9689.0,1.9378,,301.0,0.02772946264917664,0.008883995214166603,0.009231006741594964,5.434687021018156,21.061283835823968,
179,179,0.05,622,2,500000.0,1.22741865002142,,10321.25,2.06425,,311.0,0.02738004982251141,0.009429169464918214,0.009382189586277767,5.679329872813366,23.447122547732487,
180,180,0.05,642,2,500000.0,1.23521015912391,,10727.0,2.1454,,321.0,0.026712591361217616,0.00954106594176706,0.00913548678212952,6.029416085791663,25.85827556051675,
181,181,0.05,662,2,500000.0,1.24314995045508,,10950.5,2.1901,,331.0,0.029424859133797557,0.00917954270482874,0.009192461521746131,5.635841222806722,24.700120406218684,
182,182,0.05,682,2,500000.0,1.2512710931248,,10961.5,2.1923000000000004,,341.0,0.03062296276283405,0.008821590738643362,0.009137565210981571,5.613803549644169,24.619572944957763,
183,183,0.05,702,2,500000.0,1.25928548443795,,11050.5,2.2101,,351.0,0.0319049065415129,0.009185783595793069,0.00919202602180102,5.500726772673056,24.314479885499363,
184,184,0.05,722,2,500000.0,1.26742532522346,,11221.25,2.24425,,361.0,0.030351472001228785,0.009354721727030746,0.009142440970138225,5.964076632313548,26.76781086527434,
185,185,0.05,742,2,500000.0,1.27528577565715,,11434.75,2.28695,,371.0,0.03417350392641083,0.00973037101400404,0.009418282669396259,5.439254144310979,24.87828550306168,
186,186,0.05,762,2,500000.0,1.28337129179016,,11660.0,2.332,,381.0,0.033794076026509856,0.0098735115081474,0.009456709034171153,5.649390699005649,26.348125361879685,
187,187,0.05,782,2,500000.0,1.29164824012589,,11858.75,2.3717499999999996,,391.0,0.03706407816360979,0.008763350425397382,0.009180042268074883,5.274691446678281,25.021090447920063,
188,188,0.05,802,2,500000.0,1.30021834112426,,11925.0,2.385,,401.0,0.036921789464884114,0.009080634591417955,0.009179755325352328,5.44029824303453,25.954771423902486,
189,189,0.05,822,2,500000.0,1.30869521201282,,12119.75,2.42395,,411.0,0.03697888006433914,0.009928244307825523,0.009208438097452894,5.557798838671621,26.942124112347507,
190,190,0.05,842,2,500000.0,1.31711516242917,,12293.75,2.45875,,421.0,0.0343473901756397,0.009094734494078915,0.00914775616060988,6.148264176024728,30.232801220279388,
191,191,0.05,862,2,500000.0,1.3257059739536,,12497.0,2.4994,,431.0,0.040389562592736176,0.00978657503886252,0.009227226454196772,5.335543565953516,26.671345084141866,
192,192,0.05,882,2,500000.0,1.33418690330805,,12655.25,2.53105,,441.0,0.03815501423162004,0.008920419730621557,0.009170970088191614,5.805214592746744,29.38755099075564,
193,193,0.05,902,2,500000.0,1.34305723027778,,12713.0,2.5426,,451.0,0.040442904797487245,0.008966982151751764,0.0091368038370584,5.578369097104368,28.37018583674368,
194,194,0.05,922,2,500000.0,1.35202507217289,,12900.5,2.5801,,461.0,0.04221078605607431,0.008975941327693974,0.009243452061399586,5.476264588942926,28.264695158080624,
195,195,0.05,942,2,500000.0,1.36109770020853,,12929.5,2.5859,,471.0,0.04175821947990244,0.00963425899763484,0.009084345414480435,5.650957810789061,29.21949494615149,
196,196,0.05,962,2,500000.0,1.37010270270469,,13060.25,2.61205,,481.0,0.04109514963707284,0.008919407750122897,0.00944358949484418,5.875523260880901,30.70027180669916,
197,197,0.05,982,2,500000.0,1.37934440695512,,13180.0,2.636,,491.0,0.04248022103107019,0.009284607651878989,0.009477624917302831,5.784718854388432,30.50381609149029,
198,198,0.05,1002,2,500000.0,1.38819192301866,,13352.5,2.6705,,501.0,0.042979424003220856,0.00901986449673652,0.009322170806236141,5.828669604573175,31.129587873661567,
199,199,0.05,1022,2,500000.0,1.39749037919015,,13336.25,2.66725,,511.0,0.04466466134095981,0.009101756455727774,0.00965800723697564,5.720481813425016,30.515974760615023,
200,200,0.05,1042,2,500000.0,1.40690115714451,,13477.0,2.6954,,521.0,0.046643916980826816,0.00968232852672866,0.009304775973443329,5.58493144974724,30.10670317055186,
201,201,0.05,1062,2,500000.0,1.41643111237549,,13539.25,2.70785,,531.0,0.04666928498266998,0.009759151809474127,0.009540060418765503,5.703052542992074,30.8869002941143,
202,202,0.05,1082,2,500000.0,1.42608801864174,,13663.75,2.73275,,541.0,0.04728165199895784,0.009183087731665492,0.009147342747335216,5.731090996553128,31.32800707798384,
203,203,0.05,1102,2,500000.0,1.43534393733411,,13694.5,2.7389,,551.0,0.05037318138556657,0.0100844695614181,0.009124263569943697,5.469383479084727,29.959728536527976,
204,204,0.05,1122,2,500000.0,1.44497470086693,,13831.0,2.7662000000000004,,561.0,0.04974196023334798,0.008748593496461485,0.009199448443952976,5.646310561845104,31.237890644292815,
205,205,0.05,1142,2,500000.0,1.45469620088515,,13900.5,2.7801,,571.0,0.053415195265756665,0.009227988934230009,0.009240344139637506,5.3449325253105595,29.71905379684791,
206,206,0.05,1162,2,500000.0,1.46474671629238,,14024.25,2.80485,,581.0,0.05252998249835628,0.008799348897846353,0.00945253214209579,5.533015395166457,31.040223771237287,
207,207,0.05,1182,2,500000.0,1.47474509520611,,14002.25,2.80045,,591.0,0.053620715891725006,0.009086870334171071,0.009414823511000626,5.51160894818663,30.870759813677346,
208,208,0.05,1202,2,500000.0,1.48420475439885,,14160.5,2.8321,,601.0,0.05112898893099782,0.00826631938541672,0.00922471589186493,5.8839246629283535,33.32128596129542,
209,209,0.05,1222,2,500000.0,1.49435122001166,,14220.25,2.84405,,611.0,0.05315169026863487,0.008980591115138806,0.009417515656840627,5.751602442897909,32.718431319486825,
210,210,0.05,1242,2,500000.0,1.50458299346498,,14304.0,2.8608,,621.0,0.05924308197938898,0.009489733950321672,0.009147766273004112,5.241915411452851,29.990746967523975,
211,211,0.05,1262,2,500000.0,1.51490270238743,,14396.5,2.8793,,631.0,0.05796536843342892,0.00977828784844188,0.009175219530354748,5.443829617146503,31.35039797228681,
212,212,0.05,1282,2,500000.0,1.52531141053088,,14517.75,2.90355,,641.0,0.057519986043928384,0.009717960401681791,0.009445425472878995,5.580902795297666,32.4096418191766,
213,213,0.05,1302,2,500000.0,1.53529692139643,,14583.75,2.91675,,651.0,0.05924700975504038,0.009672749310843706,0.009375759133704227,5.521719728372024,32.22375720007085,
214,214,0.05,1322,2,500000.0,1.54611350370685,,14533.0,2.9066,,661.0,0.05587708908296918,0.00938009440428019,0.009137833681060857,5.9162046740598795,34.38929644509052,
215,215,0.05,1342,2,500000.0,1.55622777412061,,14622.0,2.9244,,671.0,0.0571378355986667,0.008322156428162905,0.00944698251394074,5.8757289883021375,34.36300334785879,
216,216,0.05,1362,2,500000.0,1.5672334053583,,14696.5,2.9393,,681.0,0.062423673950831926,0.009388674348418643,0.009364136194207038,5.454704128391413,32.06601146497774,
217,217,0.05,1382,2,500000.0,1.5774790998375,,14816.75,2.96335,,691.0,0.06084289407601773,0.009476564728977984,0.009347753744008579,5.680075582908,33.66569075250847,
