,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,M1.slopeErrorSag,PremirrorM2.slopeErrorMer,PremirrorM2.slopeErrorSag,PG.slopeErrorMer,PG.slopeErrorSag,M3.slopeErrorSag,M3.slopeErrorMer,KB_ver.slopeErrorMer,KB_ver.slopeErrorSag,KB_hor.slopeErrorMer,KB_hor.slopeErrorSag,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
52,52,0.03,750.0,10,1,400000.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.75,17737.36,4.434340000000001,750.0,0.0689306740793381,0.0092751278309402,0.0098628813257038,-0.0006818443487501,-3.1578216994990546e-06,50153558388720.3,10.906214012172509,48.36509023131037,547021964236335.25,0.0016385185596604,0.0009263456619755
53,53,0.03,750.0,10,1,400000.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.75,17741.18,4.435295000000002,750.0,0.0694101992829337,0.0105391460261455,0.009863078391082,-0.0006867816785215,-4.271997533205851e-07,50164359691340.58,10.84558116065924,48.10783345576221,544112322054330.9,0.0016388714386062,0.0009265451640676
54,54,0.03,750.0,10,1,400000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.75,17518.28,4.37957,750.0,0.0697753734683465,0.0229811771181551,0.0098657680794421,-0.0005468746631531,1.854804485935835e-06,49534095200748.66,10.782148700393536,47.2226706078276,534100896097499.7,0.0016182806749893,0.0009149040603152
55,55,0.03,750.0,10,1,400000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.75,17822.54,4.455635000000002,750.0,0.068715546988451,0.0074258808895472,0.0098602803928093,-0.0006920980198433,8.974041483106286e-07,50394410471755.84,10.93929368737908,48.74030404063995,551265731672857.06,0.0016463872058914,0.0009307942452758
56,56,0.03,750.0,10,1,400000.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.75,17803.3,4.450825,750.0,0.0698341928408035,0.007395263833761,0.0098655458563058,-0.0006939572427432,2.1784597324552955e-06,50340008099396.09,10.77112144296382,47.940216503624825,542216529986974.8,0.0016446098784262,0.0009297894232202
57,57,0.03,750.0,10,1,400000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.75,17819.12,4.45478,750.0,0.0703524428966011,0.0073206183328606,0.0098656247152316,-0.0006896053459426,-1.5679498421636989e-06,50384740195587.94,10.689352231529844,47.62253597794407,538623479207447.25,0.0016460712776206,0.0009306156334551
58,58,0.03,750.0,10,1,400000.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.75,17801.96,4.45049,750.0,0.0700578234171553,0.0073877994737335,0.0098591267430349,-0.0006906685620895,2.1003368185378883e-06,50336219160780.58,10.73215677901155,47.75916604666426,540168801426585.25,0.0016444860936651,0.0009297194408109
59,59,0.03,750.0,10,1,400000.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.75,17808.42,4.452105,750.0,0.0704023888696747,0.0074105823243682,0.0098700132298355,-0.0006930191504962,2.887691187853229e-06,50354485237986.63,10.683141525365148,47.56393553000635,537960692640055.1,0.0016450828470656,0.0009300568186944
60,60,0.03,750.0,10,1,400000.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.75,17779.52,4.44488,750.0,0.0698193051611565,0.0072367466983226,0.0098615178762685,-0.0006873878137639,-1.3411035057284984e-06,50272768576801.76,10.766811543614663,47.86011579107274,541310569739460.94,0.0016424131608003,0.0009285474965839
61,61,0.03,750.0,10,1,400000.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.75,17775.9,4.443975000000001,750.0,0.0697981279663031,0.007360572018421,0.0098644473626024,-0.0006916905775094,1.0678645750918833e-06,50262532787407.65,10.77673457195572,47.89311890209487,541683843655231.5,0.001642078757192,0.0009283584396275
