,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
974,974,0.04,743,3.0,1,500000.0,,1472.2,0.2944399999999999,,743.0,0.07026707054278632,0.01794193221438547,0.013223491154654196,10.580626663290069,3.1146452301403853,,,
975,975,0.04,743,5.0,1,500000.0,,917.0,0.1834,,743.0,0.06671017245437269,0.016660149584482066,0.01263968174327132,11.178988341649003,2.0492541053150775,,,
976,976,0.04,744,1.5,1,500000.0,,1141.4,0.22828,,744.0,0.09352963621345224,0.018057372291935287,0.013936419567727334,8.054294650329828,1.8412125362138791,,,
977,977,0.04,744,2.25,1,500000.0,,1647.2,0.32944,,744.0,0.07343567674231508,0.01922539028423884,0.013647889344634396,10.14036120170315,3.340991777121856,,,
978,978,0.04,744,3.0,1,500000.0,,1505.0,0.30100000000000005,,744.0,0.06746275600071386,0.017595737519729975,0.013425216443342483,11.097673469482675,3.3331495805556783,,,
979,979,0.04,744,5.0,1,500000.0,,902.2,0.18044,,744.0,0.06336564621681191,0.017913809284217645,0.013454638966187248,11.791725334994236,2.1314217453749476,,,
980,980,0.04,745,1.5,1,500000.0,,1148.6,0.22972,,745.0,0.09750951946657552,0.01794700458883569,0.01378105679271858,7.7171889488996515,1.7754794992625391,,,
981,981,0.04,745,2.25,1,500000.0,,1692.8,0.33856,,745.0,0.0739405966008917,0.018473597142387832,0.014155568485953843,10.144133424335772,3.4326321910799806,,,
982,982,0.04,745,3.0,1,500000.0,,1484.8,0.29696,,745.0,0.06805999080936545,0.018347753135043426,0.014134034965313897,10.981772576855168,3.2668887221434275,,,
983,983,0.04,745,5.0,1,500000.0,,909.6,0.18192,,745.0,0.0667742333459728,0.016301193778641015,0.014350011967670068,11.179976129600728,2.0348164940632385,,,
984,984,0.04,746,1.5,1,500000.0,,1133.4,0.22668,,746.0,0.09139918817718352,0.016308928495725423,0.013622941944595608,8.196566255155588,1.860124079769172,,,
985,985,0.04,746,2.25,1,500000.0,,1693.6,0.33872,,746.0,0.07359347032183905,0.01876110551470652,0.013985276499474356,10.214442615970272,3.462227646920277,,,
986,986,0.04,746,3.0,1,500000.0,,1444.6,0.28891999999999995,,746.0,0.06958924900143301,0.01826730674204556,0.013551636580347234,10.739884541411596,3.1059589710056987,,,
987,987,0.04,746,5.0,1,500000.0,,922.0,0.1844,,746.0,0.06501376508585963,0.016814146127380143,0.012789585380759088,11.551527356150425,2.12804705351496,,,
988,988,0.04,747,1.5,1,500000.0,,1143.0,0.2286,,747.0,0.09287932514630483,0.01708271948193098,0.013852766156870424,8.12085878591407,1.8529192232581293,,,
989,989,0.04,747,2.25,1,500000.0,,1683.8,0.33675999999999995,,747.0,0.07211667095218673,0.018552706740750703,0.013431828400780117,10.397368833794836,3.500292892061739,,,
990,990,0.04,747,3.0,1,500000.0,,1475.6,0.29511999999999994,,747.0,0.06837969334817444,0.018595709086618024,0.01375369623958334,10.949985533639772,3.2312280171863152,,,
991,991,0.04,747,5.0,1,500000.0,,922.0,0.1844,,747.0,0.0656825043143499,0.018287398087583374,0.01303072677130664,11.417455959706622,2.105233193142245,,,
992,992,0.04,748,1.5,1,500000.0,,1115.8,0.22316,,748.0,0.09585246486235519,0.018865693981347038,0.013948934184350942,7.84582862678161,1.7540827242144328,,,
993,993,0.04,748,2.25,1,500000.0,,1676.8,0.33536,,748.0,0.0731323364516811,0.01845278039873104,0.013651314878939365,10.324158527285933,3.4681065572290044,,,
994,994,0.04,748,3.0,1,500000.0,,1479.4,0.29588000000000003,,748.0,0.06633427194653904,0.020039329684058145,0.014174551655077567,11.318871263634787,3.348385971287956,,,
995,995,0.04,748,5.0,1,500000.0,,951.2,0.19024,,748.0,0.06440464194499781,0.019423398936277692,0.012391341949867057,11.636938604822658,2.213775321855131,,,
996,996,0.04,749,1.5,1,500000.0,,1131.8,0.22636,,749.0,0.09533229440082776,0.017461350511323876,0.013375081573096534,7.905915112563162,1.7869310754454486,,,
997,997,0.04,749,2.25,1,500000.0,,1712.0,0.34240000000000004,,749.0,0.07613840703775168,0.017595493204620914,0.01339630608253059,9.902753987536764,3.389851346547765,,,
998,998,0.04,749,3.0,1,500000.0,,1469.4,0.29388,,749.0,0.07278113198019583,0.01941553603067442,0.01387919515325208,10.306586146306643,3.0310930028644703,,,
999,999,0.04,749,5.0,1,500000.0,,935.2,0.18704,,749.0,0.06029360731647557,0.018423957279730077,0.013831897333321366,12.515809368476104,2.3410084063540855,,,
1000,1000,0.04,750,1.5,1,500000.0,,1124.8,0.22496,,750.0,0.09387407758874815,0.019541252356032397,0.013896082614328762,8.014956495006901,1.804838551113068,,,
1001,1001,0.04,750,2.25,1,500000.0,,1666.6,0.33331999999999995,,750.0,0.07173005513293447,0.01809932728813,0.013712283885869966,10.54192535001498,3.516747772220562,,,
1002,1002,0.04,750,3.0,1,500000.0,,1484.8,0.29696,,750.0,0.07266756714718665,0.01845251055296564,0.014426486520856239,10.3491258585157,3.0696207796678534,,,
1003,1003,0.04,750,5.0,1,500000.0,,948.8,0.18976,,750.0,0.061305535480278193,0.017673306621787753,0.013941413471825008,12.250093196275632,2.323316737167846,,,
1004,1004,0.04,751,1.5,1,500000.0,,1143.8,0.22876,,751.0,0.0978293171856194,0.01976585611568865,0.013969068793720448,7.6876907978168125,1.7581802713020505,,,
1005,1005,0.04,751,2.25,1,500000.0,,1679.8,0.33596,,751.0,0.07568208739094189,0.01842331635857412,0.013873731366557136,9.944796569998237,3.3451618965145102,,,
1006,1006,0.04,751,3.0,1,500000.0,,1510.4,0.30207999999999996,,751.0,0.06457515465051529,0.018468356300726248,0.013614601511674748,11.638499603997532,3.517375060948628,,,
1007,1007,0.04,751,5.0,1,500000.0,,921.0,0.1842,,751.0,0.06048367164564752,0.017816446497841792,0.012619152323673787,12.43305038988874,2.2921143540242523,,,
1008,1008,0.04,752,1.5,1,500000.0,,1143.8,0.22876,,752.0,0.09460596534831893,0.01857595069414821,0.0137295029775168,8.033878767267684,1.8415916896604805,,,
1009,1009,0.04,752,2.25,1,500000.0,,1689.8,0.33796,,752.0,0.07027324997325195,0.01979333963338222,0.014179582574457016,10.82023692200492,3.651598384407473,,,
1010,1010,0.04,752,3.0,1,500000.0,,1526.4,0.30528,,752.0,0.06628442784672188,0.019309165596493795,0.013750224662839016,11.434091021217144,3.488669792199095,,,
1011,1011,0.04,752,5.0,1,500000.0,,944.8,0.18896,,752.0,0.06342014089202622,0.018818805619163305,0.013516317049820903,11.87702245768845,2.2448860619583897,,,
1012,1012,0.04,753,1.5,1,500000.0,,1144.2,0.22884,,753.0,0.10115790872707749,0.018049535817658256,0.013812754952588236,7.50872178889769,1.7169693689734156,,,
1013,1013,0.04,753,2.25,1,500000.0,,1727.8,0.34556,,753.0,0.07109054243705941,0.019651593763273304,0.014140445242514711,10.632471801057896,3.6760422454471553,,,
1014,1014,0.04,753,3.0,1,500000.0,,1494.6,0.29892,,753.0,0.06547066165230717,0.019632066736823377,0.013334414159345009,11.531422696912475,3.446965727754041,,,
1015,1015,0.04,753,5.0,1,500000.0,,982.2,0.19644,,753.0,0.06356065149991537,0.01797689842960294,0.013209211300136015,11.86648407920388,2.3327399025996494,,,
1016,1016,0.04,754,1.5,1,500000.0,,1133.0,0.2266,,754.0,0.09077575479104781,0.01922805303827797,0.013339941253942653,8.402876741684196,1.9019158566566232,,,
1017,1017,0.04,754,2.25,1,500000.0,,1725.2,0.34504,,754.0,0.06974206668955958,0.018801917054650688,0.014057310820918953,10.901718855080096,3.753274688634817,,,
1018,1018,0.04,754,3.0,1,500000.0,,1536.0,0.3072,,754.0,0.06786623382843118,0.017562352503095603,0.013821833883120247,11.149371681621776,3.4268364106532743,,,
1019,1019,0.04,754,5.0,1,500000.0,,950.8,0.19016,,754.0,0.06340700912592183,0.01800917136193857,0.013187074790450611,11.939850794131283,2.2721037773635633,,,
1020,1020,0.04,755,1.5,1,500000.0,,1149.0,0.2298,,755.0,0.09025922656151124,0.01962228114636908,0.013458455979711324,8.428018687783878,1.9355940240774892,,,
