,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,M1.slopeErrorSag,PremirrorM2.slopeErrorMer,PremirrorM2.slopeErrorSag,PG.slopeErrorMer,PG.slopeErrorSag,M3.slopeErrorSag,M3.slopeErrorMer,KB_ver.slopeErrorMer,KB_ver.slopeErrorSag,KB_hor.slopeErrorMer,KB_hor.slopeErrorSag,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
47,47,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,,12046.35,6.023175000000001,500.0,0.0421801445120308,0.0070956627943501,0.0096495302930486,83558321621967.66,11.868200072885289,71.47759342441023,991594589252530.4,0.0018131415441336,0.0010138801183041
48,48,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,12100.65,6.050324999999999,500.0,0.0422833024633575,0.0071983540351168,0.0097425248752524,83934968229784.36,11.850223949391784,71.70858975599546,994799155908504.0,0.0018213144418036,0.0010184502736145
49,49,0.03,750.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15985.35,7.992675,750.0,0.076934161548371,0.0070149171293268,0.0096397371506895,90399268503219.22,9.764338776095617,78.04373362634323,882695271743379.8,0.0029533473592088,0.0016696915017411
50,50,0.03,750.0,2.25,1,200000.0,0.5,1.5,0.05,0.5,0.05,0.5,1.0,0.3,0.05,0.1,0.05,0.1,,15980.95,7.990475000000002,750.0,0.0792379430896857,0.0088472589307753,0.0096607090960008,90374385921266.72,9.497505813910108,75.89856560563514,858432853981052.4,0.0029525344443599,0.0016692319157697
51,51,0.03,750.0,2.25,1,200000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16029.2,8.014599999999998,750.0,0.0766335193200916,0.0075548350906111,0.0096586521712929,90647246052904.77,9.806371486908631,78.59247734264176,888901708330520.2,0.002961448794692,0.0016742716937513
52,52,0.03,750.0,2.25,1,200000.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15969.65,7.984825000000001,750.0,0.0777020035643772,0.0092307638650114,0.0096357772849696,90310482926706.92,9.677516835861676,77.27701507944957,874023482162665.2,0.0029504467312251,0.0016680516154341
53,53,0.03,750.0,2.25,1,200000.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15901.55,7.950775000000002,750.0,0.0786610874960274,0.0105356371862894,0.0096784810607795,89925368419669.6,9.54626128601038,75.89979614584317,858446771716312.8,0.002937865026404,0.0016609384780133
54,54,0.03,750.0,2.25,1,200000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15624.95,7.812475000000001,750.0,0.0781525511734685,0.0234757204553721,0.009633486508266,88361158836020.17,9.611614343458912,75.08624074928538,849245244976432.9,0.0028867622429456,0.0016320472326304
55,55,0.03,750.0,2.25,1,200000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15978.0,7.989000000000002,750.0,0.0770010198928616,0.0070972075468715,0.0096384611805016,90357703281094.05,9.750316036877065,77.88960356472691,880952019975421.0,0.0029519894219044,0.0016689237842661
56,56,0.03,750.0,2.25,1,200000.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16038.05,8.019025,750.0,0.0779204220162682,0.00719825390537,0.0096454120704559,90697293973422.84,9.645007368711886,77.34621570002898,874806159486633.5,0.0029630838620587,0.001675196088262
57,57,0.03,750.0,2.25,1,200000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15962.8,7.981400000000002,750.0,0.0781377984326979,0.0071265337923419,0.0096519339581563,90271745270712.72,9.620385754739306,76.78199610371857,868424686602818.5,0.002949181170608,0.0016673361236377
58,58,0.03,750.0,2.25,1,200000.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16027.3,8.013650000000002,750.0,0.0777970886802108,0.0071698423041269,0.009632632052823,90636501301607.12,9.650359816525173,77.33425152910277,874670841548649.2,0.00296109776328,0.0016740732361728
59,59,0.03,750.0,2.25,1,200000.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16027.9,8.01395,750.0,0.0776710562819345,0.0072118369135461,0.0096513102530323,90639894380964.28,9.66875290846583,77.49173836458002,876452059316922.1,0.0029612086153049,0.0016741359069871
60,60,0.03,750.0,2.25,1,200000.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15963.6,7.9818,750.0,0.0771033461400804,0.0072306438030058,0.0096795910463752,90276269376522.28,9.744921364749985,77.78125477943078,879726566552883.4,0.0029493289733078,0.0016674196847234
61,61,0.03,750.0,2.25,1,200000.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16021.8,8.010900000000001,750.0,0.0785310832326786,0.007240749228719,0.0096392467898754,90605398074166.5,9.566189993955415,76.63691914873748,866783827865666.9,0.0029600816197188,0.0016734987537086
62,62,0.03,750.0,2.25,1,200000.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15524.4,7.762200000000002,750.0,0.3810036862175366,0.0071448547823957,0.0096331268470786,87792535287083.27,1.9707740117205028,15.298376639812416,173028686581873.94,0.0028681852911135,0.0016215446486707
63,63,0.03,750.0,2.25,1,200000.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16004.6,8.002300000000002,750.0,0.0771113365265022,0.0069677767554488,0.0096402164843886,90508129799261.34,9.737063695688231,77.91171979158347,881202160351438.2,0.002956903861673,0.0016717021903659
64,64,0.03,750.0,2.25,1,200000.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15951.4,7.975699999999999,750.0,0.0772666613511887,0.0071660619446091,0.0096413310890448,90207276762926.77,9.720585952068072,77.53044836337996,876889879643068.0,0.0029470749821358,0.0016661453781664
65,65,0.03,750.0,2.25,1,200000.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16039.15,8.019575,750.0,0.0774587962899602,0.0071535143699477,0.0096599076534977,90703514618910.95,9.694186951416086,77.73852694187988,879243303407650.1,0.0029632870907709,0.0016753109847548
66,66,0.03,750.0,2.25,1,200000.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15992.85,7.996424999999999,750.0,0.0778677950346888,0.0072970412403397,0.0096350109261618,90441681995183.69,9.650452606937511,77.16686399252987,872777644232012.8,0.0029547330095195,0.0016704748869196
67,67,0.03,750.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15972.1,7.986049999999999,750.0,0.0792240314103764,0.0071525854915763,0.0096338658709973,90324338000748.66,9.485582668174027,75.75314712148904,856788132458701.6,0.0029508993769933,0.0016683075212591
68,68,0.03,750.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16044.4,8.022200000000002,750.0,0.0779979317053971,0.0071390915089462,0.0096430545416667,90733204063286.1,9.630909773278864,77.2543379168598,873766997455124.6,0.0029642570459884,0.0016758593543798
69,69,0.03,750.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16012.0,8.005999999999998,750.0,0.0805644228366759,0.0071244286026503,0.009652804467962,90549977777999.6,9.32753438653484,74.67886205622133,844637684196495.0,0.0029582710366462,0.0016724751304087
70,70,0.03,750.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13110.7,6.555350000000002,750.0,0.6197469768007864,0.0070477809350683,0.009626004764391,74142742546466.36,1.211506804002885,7.942148857566707,89827804466928.55,0.0024222460704569,0.0013694304079596
71,71,0.03,750.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,15971.8,7.985899999999999,750.0,0.0781315386957828,0.0071445819296664,0.0096428825259832,90322641461070.08,9.624321459575912,76.85724274828753,869275746057426.5,0.0029508439509809,0.0016682761858519
72,72,0.03,750.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,16005.55,8.002775,750.0,0.0774110809809769,0.0070840344001004,0.0096407786193851,90513502174910.16,9.701515140203918,77.63480057393915,878070130748141.2,0.002957079377379,0.0016718014191552
73,73,0.03,750.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,,15991.85,7.995925,750.0,0.0764322065599912,0.0072693039417608,0.0096273273980768,90436026862921.72,9.833613043592988,78.61274293804522,889130917575267.2,0.0029545482561448,0.0016703704355624
74,74,0.03,750.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,16003.4,8.0017,750.0,0.0765810800158135,0.007270550844069,0.0096579743697935,90501343640547.05,9.8139766578372,78.52641276695343,888154500503829.2,0.0029566821576232,0.0016715768487373
