,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
1461,1461,0.02,4944,2,500000.0,5.80365299179295,,500000.0,100.0,4944.0,4.941187736377287,0.1781194744119319,0.0268368016491726,,1.000569147292666,100.05691472926658,,,
1462,1462,0.02,4948,2,500000.0,5.81538260503669,,500000.0,100.0,4948.0,4.943720609629054,0.1764543026109243,0.026858179821858,,1.0008656214031617,100.08656214031618,,,
1463,1463,0.02,4952,2,500000.0,5.82671178404734,,500000.0,100.0,4952.0,4.951664613425237,0.1762142228638288,0.0270562380249787,,1.0000677320862674,100.00677320862675,,,
1464,1464,0.02,4956,2,500000.0,5.83786696320222,,500000.0,100.0,4956.0,4.955661894124205,0.1794905652455617,0.0274331702204581,,1.0000682261790692,100.00682261790692,,,
1465,1465,0.02,4960,2,500000.0,5.84884547963799,,500000.0,100.0,4960.0,4.958162831730078,0.1775403586343949,0.0269181671251927,,1.000370534073259,100.03705340732589,,,
1466,1466,0.02,4964,2,500000.0,5.81307296170735,,500000.0,100.0,4964.0,4.962666903235004,0.1794367459475831,0.0271919749978561,,1.0002686250741768,100.02686250741768,,,
1467,1467,0.02,4968,2,500000.0,5.82338011312988,,500000.0,100.0,4968.0,4.96696182798587,0.1784670639445574,0.0272037254979911,,1.00020901550084,100.02090155008402,,,
1468,1468,0.02,4972,2,500000.0,5.83338829974334,,500000.0,100.0,4972.0,4.971309818150075,0.1741610855364762,0.0273156332529484,,1.0001388329987813,100.01388329987816,,,
1469,1469,0.02,4976,2,500000.0,5.84309365791407,,500000.0,100.0,4976.0,4.974222793416629,0.1758211487485907,0.0275436490978441,,1.000357283269604,100.0357283269604,,,
1470,1470,0.02,4980,2,500000.0,5.85260940838092,,500000.0,100.0,4980.0,4.975837970303473,0.1767820026728693,0.0271050330581885,,1.0008364479955671,100.08364479955672,,,
1471,1471,0.02,4984,2,500000.0,5.86181570793621,,500000.0,100.0,4984.0,4.9821457993994045,0.1766219576543886,0.0275000974400934,,1.0003721690763885,100.03721690763886,,,
