Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor
271,0.02,1044,2,500000.0,1.40799052369918
272,0.02,1046,2,500000.0,1.40884523113251
273,0.02,1048,2,500000.0,1.40993166845321
274,0.02,1050,2,500000.0,1.41079503857806
275,0.02,1052,2,500000.0,1.41165075360548
276,0.02,1054,2,500000.0,1.4127503589355
277,0.02,1056,2,500000.0,1.41360767287236
278,0.02,1058,2,500000.0,1.41459744470657
279,0.02,1060,2,500000.0,1.4155721082738
280,0.02,1062,2,500000.0,1.41643111237549
281,0.02,1064,2,500000.0,1.41754270316262
282,0.02,1066,2,500000.0,1.41840300891481
283,0.02,1068,2,500000.0,1.41926341830284
284,0.02,1070,2,500000.0,1.42038073524617
285,0.02,1072,2,500000.0,1.42124346131435
286,0.02,1074,2,500000.0,1.42225871849266
287,0.02,1076,2,500000.0,1.42323023053009
288,0.02,1078,2,500000.0,1.42409390255334
289,0.02,1080,2,500000.0,1.42522230999383
290,0.02,1082,2,500000.0,1.42608801864174
291,0.02,1084,2,500000.0,1.42695357121555
292,0.02,1086,2,500000.0,1.42808959195544
293,0.02,1088,2,500000.0,1.42895576997403
294,0.02,1090,2,500000.0,1.4298542301886
295,0.02,1092,2,500000.0,1.43046370146932
296,0.02,1094,2,500000.0,1.43133062975146
297,0.02,1096,2,500000.0,1.43235160782337
298,0.02,1098,2,500000.0,1.43334420882694
299,0.02,1100,2,500000.0,1.43421228863291
300,0.02,1102,2,500000.0,1.43534393733411
301,0.02,1104,2,500000.0,1.43623651060153
302,0.02,1106,2,500000.0,1.43710675988374
303,0.02,1108,2,500000.0,1.43826584558474
304,0.02,1110,2,500000.0,1.43913732984838
305,0.02,1112,2,500000.0,1.4400107973697
306,0.02,1114,2,500000.0,1.44117660858237
307,0.02,1116,2,500000.0,1.44205115588889
308,0.02,1118,2,500000.0,1.44292497813681
309,0.02,1120,2,500000.0,1.44409865044327
310,0.02,1122,2,500000.0,1.44497470086693
311,0.02,1124,2,500000.0,1.44584992211973
312,0.02,1126,2,500000.0,1.44703129214889
313,0.02,1128,2,500000.0,1.44790993423811
314,0.02,1130,2,500000.0,1.44878765070246
315,0.02,1132,2,500000.0,1.44997656113508
316,0.02,1134,2,500000.0,1.45085619837007
317,0.02,1136,2,500000.0,1.45173617503807
318,0.02,1138,2,500000.0,1.45293245546904
319,0.02,1140,2,500000.0,1.45381420065885
320,0.02,1142,2,500000.0,1.45469620088515
321,0.02,1144,2,500000.0,1.455899680618
322,0.02,1146,2,500000.0,1.45678329258985
323,0.02,1148,2,500000.0,1.45766707298689
324,0.02,1150,2,500000.0,1.45887898904736
325,0.02,1152,2,500000.0,1.45976422504962
326,0.02,1154,2,500000.0,1.4606509656109
327,0.02,1156,2,500000.0,1.46187118148225
328,0.02,1158,2,500000.0,1.46276641926811
329,0.02,1160,2,500000.0,1.46375114566509
330,0.02,1162,2,500000.0,1.46474671629238
331,0.02,1164,2,500000.0,1.46574158875061
332,0.02,1166,2,500000.0,1.46673863640263
333,0.02,1168,2,500000.0,1.46773784697341
334,0.02,1170,2,500000.0,1.46873626454312
335,0.02,1172,2,500000.0,1.46973531897488
336,0.02,1174,2,500000.0,1.47073646321198
337,0.02,1176,2,500000.0,1.47173670547976
338,0.02,1178,2,500000.0,1.47273898751857
339,0.02,1180,2,500000.0,1.47374179461199
340,0.02,1182,2,500000.0,1.47474509520611
341,0.02,1184,2,500000.0,1.47575037044348
342,0.02,1186,2,500000.0,1.47675608714604
343,0.02,1188,2,500000.0,1.47776221296867
344,0.02,1190,2,500000.0,1.47877024617299
345,0.02,1192,2,500000.0,1.47977863496802
346,0.02,1194,2,500000.0,1.48078734621102
347,0.02,1196,2,500000.0,1.48179634647912
348,0.02,1198,2,500000.0,1.4828071570477
349,0.02,1200,2,500000.0,1.48319437300648
350,0.02,1202,2,500000.0,1.48420475439885
351,0.02,1204,2,500000.0,1.48521530770648
352,0.02,1206,2,500000.0,1.48622757457007
353,0.02,1208,2,500000.0,1.48723995589556
354,0.02,1210,2,500000.0,1.48825400503234
355,0.02,1212,2,500000.0,1.48926811018473
356,0.02,1214,2,500000.0,1.49028223560492
357,0.02,1216,2,500000.0,1.4912979522915
358,0.02,1218,2,500000.0,1.49231524247742
359,0.02,1220,2,500000.0,1.49333246877473
360,0.02,1222,2,500000.0,1.49435122001166
361,0.02,1224,2,500000.0,1.49536984590391
362,0.02,1226,2,500000.0,1.49639158535862
363,0.02,1228,2,500000.0,1.49741314953109
364,0.02,1230,2,500000.0,1.49843450056669
365,0.02,1232,2,500000.0,1.49945725730592
366,0.02,1234,2,500000.0,1.50047973695248
367,0.02,1236,2,500000.0,1.50150524007057
368,0.02,1238,2,500000.0,1.50253041380156
369,0.02,1240,2,500000.0,1.50355521895399
370,0.02,1242,2,500000.0,1.50458299346498
371,0.02,1244,2,500000.0,1.50561034569257
372,0.02,1246,2,500000.0,1.50664063868267
373,0.02,1248,2,500000.0,1.50767045479915
374,0.02,1250,2,500000.0,1.50870146793132
375,0.02,1252,2,500000.0,1.5097319357879
376,0.02,1254,2,500000.0,1.51076527197642
377,0.02,1256,2,500000.0,1.51179800642081
378,0.02,1258,2,500000.0,1.51283183788022
379,0.02,1260,2,500000.0,1.5138667440428
380,0.02,1262,2,500000.0,1.51490270238743
381,0.02,1264,2,500000.0,1.51593969018288
382,0.02,1266,2,500000.0,1.51697768448707
383,0.02,1268,2,500000.0,1.51801666214643
384,0.02,1270,2,500000.0,1.51905659979505
385,0.02,1272,2,500000.0,1.52009568747829
386,0.02,1274,2,500000.0,1.52113746751033
387,0.02,1276,2,500000.0,1.52218013613689
388,0.02,1278,2,500000.0,1.52322186278456
389,0.02,1280,2,500000.0,1.52426622902487
390,0.02,1282,2,500000.0,1.52531141053088
391,0.02,1284,2,500000.0,1.5263117233302
392,0.02,1286,2,500000.0,1.52730880463685
393,0.02,1288,2,500000.0,1.52830626747888
394,0.02,1290,2,500000.0,1.52930408515429
395,0.02,1292,2,500000.0,1.53030223075496
396,0.02,1294,2,500000.0,1.53129881834037
397,0.02,1296,2,500000.0,1.532297531686
398,0.02,1298,2,500000.0,1.53329649098086
399,0.02,1300,2,500000.0,1.53429754702107
400,0.02,1302,2,500000.0,1.53529692139643
401,0.02,1304,2,500000.0,1.53629834964715
402,0.02,1306,2,500000.0,1.53729992492241
403,0.02,1308,2,500000.0,1.5383035237109
404,0.02,1310,2,500000.0,1.53930531389456
405,0.02,1312,2,500000.0,1.54030908324773
406,0.02,1314,2,500000.0,1.54208371439964
407,0.02,1316,2,500000.0,1.54309022742337
408,0.02,1318,2,500000.0,1.54409867372624
409,0.02,1320,2,500000.0,1.5451051452317
410,0.02,1322,2,500000.0,1.54611350370685
411,0.02,1324,2,500000.0,1.54712373924501
412,0.02,1326,2,500000.0,1.54813190264418
413,0.02,1328,2,500000.0,1.54914387208222
414,0.02,1330,2,500000.0,1.55015370800875
415,0.02,1332,2,500000.0,1.55116533905378
416,0.02,1334,2,500000.0,1.5521767576442
417,0.02,1336,2,500000.0,1.55318993615132
418,0.02,1338,2,500000.0,1.55420084231418
419,0.02,1340,2,500000.0,1.55521345874571
420,0.02,1342,2,500000.0,1.55622777412061
421,0.02,1344,2,500000.0,1.5572417456313
422,0.02,1346,2,500000.0,1.55825737918479
423,0.02,1348,2,500000.0,1.55927261778023
424,0.02,1350,2,500000.0,1.56028948085293
425,0.02,1352,2,500000.0,1.56130589714653
426,0.02,1354,2,500000.0,1.56314920192325
427,0.02,1356,2,500000.0,1.56416950654452
428,0.02,1358,2,500000.0,1.56519136657115
429,0.02,1360,2,500000.0,1.56621058572968
430,0.02,1362,2,500000.0,1.5672334053583
431,0.02,1364,2,500000.0,1.56825562177366
432,0.02,1366,2,500000.0,1.56927720053429
433,0.02,1368,2,500000.0,1.57030022715821
434,0.02,1370,2,500000.0,1.57132468816069
435,0.02,1372,2,500000.0,1.57234843546247
436,0.02,1374,2,500000.0,1.57337571707852
437,0.02,1376,2,500000.0,1.57440009418299
438,0.02,1378,2,500000.0,1.57542797761448
439,0.02,1380,2,500000.0,1.57645288509541
440,0.02,1382,2,500000.0,1.5774790998375
441,0.02,1384,2,500000.0,1.57850660727466
442,0.02,1386,2,500000.0,1.57953539270924
