Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor
272,0.05,1046,2,500000.0,1.40884523113251
273,0.05,1048,2,500000.0,1.40993166845321
274,0.05,1050,2,500000.0,1.41079503857806
275,0.05,1052,2,500000.0,1.41165075360548
276,0.05,1054,2,500000.0,1.4127503589355
277,0.05,1056,2,500000.0,1.41360767287236
278,0.05,1058,2,500000.0,1.41459744470657
279,0.05,1060,2,500000.0,1.4155721082738
280,0.05,1062,2,500000.0,1.41643111237549
281,0.05,1064,2,500000.0,1.41754270316262
282,0.05,1066,2,500000.0,1.41840300891481
283,0.05,1068,2,500000.0,1.41926341830284
284,0.05,1070,2,500000.0,1.42038073524617
285,0.05,1072,2,500000.0,1.42124346131435
286,0.05,1074,2,500000.0,1.42225871849266
287,0.05,1076,2,500000.0,1.42323023053009
288,0.05,1078,2,500000.0,1.42409390255334
289,0.05,1080,2,500000.0,1.42522230999383
290,0.05,1082,2,500000.0,1.42608801864174
291,0.05,1084,2,500000.0,1.42695357121555
292,0.05,1086,2,500000.0,1.42808959195544
293,0.05,1088,2,500000.0,1.42895576997403
294,0.05,1090,2,500000.0,1.4298542301886
295,0.05,1092,2,500000.0,1.43046370146932
296,0.05,1094,2,500000.0,1.43133062975146
297,0.05,1096,2,500000.0,1.43235160782337
298,0.05,1098,2,500000.0,1.43334420882694
299,0.05,1100,2,500000.0,1.43421228863291
300,0.05,1102,2,500000.0,1.43534393733411
301,0.05,1104,2,500000.0,1.43623651060153
302,0.05,1106,2,500000.0,1.43710675988374
303,0.05,1108,2,500000.0,1.43826584558474
304,0.05,1110,2,500000.0,1.43913732984838
305,0.05,1112,2,500000.0,1.4400107973697
306,0.05,1114,2,500000.0,1.44117660858237
307,0.05,1116,2,500000.0,1.44205115588889
308,0.05,1118,2,500000.0,1.44292497813681
309,0.05,1120,2,500000.0,1.44409865044327
310,0.05,1122,2,500000.0,1.44497470086693
311,0.05,1124,2,500000.0,1.44584992211973
312,0.05,1126,2,500000.0,1.44703129214889
313,0.05,1128,2,500000.0,1.44790993423811
314,0.05,1130,2,500000.0,1.44878765070246
315,0.05,1132,2,500000.0,1.44997656113508
316,0.05,1134,2,500000.0,1.45085619837007
317,0.05,1136,2,500000.0,1.45173617503807
318,0.05,1138,2,500000.0,1.45293245546904
319,0.05,1140,2,500000.0,1.45381420065885
320,0.05,1142,2,500000.0,1.45469620088515
321,0.05,1144,2,500000.0,1.455899680618
322,0.05,1146,2,500000.0,1.45678329258985
323,0.05,1148,2,500000.0,1.45766707298689
324,0.05,1150,2,500000.0,1.45887898904736
325,0.05,1152,2,500000.0,1.45976422504962
326,0.05,1154,2,500000.0,1.4606509656109
327,0.05,1156,2,500000.0,1.46187118148225
328,0.05,1158,2,500000.0,1.46276641926811
329,0.05,1160,2,500000.0,1.46375114566509
330,0.05,1162,2,500000.0,1.46474671629238
331,0.05,1164,2,500000.0,1.46574158875061
332,0.05,1166,2,500000.0,1.46673863640263
333,0.05,1168,2,500000.0,1.46773784697341
334,0.05,1170,2,500000.0,1.46873626454312
