,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
58,58,0.05,630,2.25,1,500000.0,,29784.8,5.95696,,630.0,0.058602388940335,0.010407361507573704,0.011566741951826248,10.761742071093128,64.11812034405035,
59,59,0.05,640,2.25,1,500000.0,,30058.2,6.01164,,640.0,0.06051246105676,0.0106537029836055,0.011782433748689924,10.583083820243804,63.621018600986034,
60,60,0.05,650,2.25,1,500000.0,,30356.8,6.07136,,650.0,0.06137178058752397,0.011049168043084506,0.011635480195892486,10.601237876692672,64.36522295824444,
61,61,0.05,660,2.25,1,500000.0,,30709.8,6.14196,,660.0,0.06295501238080306,0.010762941771774026,0.011704741676559108,10.48786647955078,64.41875157696593,
62,62,0.05,670,2.25,1,500000.0,,30859.8,6.17196,,670.0,0.06111802455848192,0.010856480042498324,0.01193046441061732,10.979896976778427,67.76325953296569,
63,63,0.05,680,2.25,1,500000.0,,31184.6,6.23692,,680.0,0.0650534892713722,0.010623846136172463,0.011814555313894004,10.45803199418898,65.22468391224888,
64,64,0.05,690,2.25,1,500000.0,,31509.4,6.30188,,690.0,0.0667859546416139,0.010352234821092534,0.011686367972755808,10.384584080261003,65.44598936414727,
65,65,0.05,700,2.25,1,500000.0,,31744.2,6.34884,,700.0,0.06542036286225539,0.010573310311360783,0.011701940956027805,10.740389337110527,68.20120817775387,
66,66,0.05,710,2.25,1,500000.0,,31981.2,6.396240000000001,,710.0,0.06897700322801939,0.010586899114340367,0.011716224727689978,10.305201165379817,65.91369495550137,
67,67,0.05,720,2.25,1,500000.0,,32269.4,6.45388,,720.0,0.07146144669652585,0.01090598407603344,0.0115822856235986,10.086004098601688,65.0830093566478,
68,68,0.05,730,2.25,1,500000.0,,32527.2,6.50544,,730.0,0.07241703319737097,0.01026658293139748,0.011663747320726708,10.08092719366266,65.58196200712669,
69,69,0.05,740,2.25,1,500000.0,,32954.8,6.59096,,740.0,0.07487594128310775,0.010240195370243557,0.011781873498851379,9.905287811068478,65.29308631112464,
70,70,0.05,750,2.25,1,500000.0,,33158.4,6.63168,,750.0,0.07821241329170332,0.010817231598349636,0.011634160984603507,9.596111211356073,63.63467639189105,
71,71,0.05,760,2.25,1,500000.0,,33422.0,6.684400000000001,,760.0,0.07832890657825828,0.010741133726134874,0.011664764716474332,9.73384578339666,65.06923361326187,
72,72,0.05,770,2.25,1,500000.0,,33594.4,6.71888,,770.0,0.08036060622414425,0.010207969202123352,0.011717182242045859,9.587145390415428,64.4204034820821,
73,73,0.05,780,2.25,1,500000.0,,33739.8,6.747960000000001,,780.0,0.08047104833708545,0.010430132817487192,0.011755506590406,9.702407981482752,65.46354960566816,
74,74,0.05,790,2.25,1,500000.0,,34061.4,6.81228,,790.0,0.08040222047827683,0.010863398470040935,0.011799037642236354,9.839370351644067,67.03082926771239,
75,75,0.05,800,2.25,1,500000.0,,34381.2,6.87624,,800.0,0.08049337885563546,0.010879392069303344,0.011514619628011508,9.94998642414668,68.41944820730808,
76,76,0.05,810,2.25,1,500000.0,,34586.4,6.91728,,810.0,0.08340554480678293,0.010091462037297345,0.011706798004663016,9.739314880719414,67.37500622147525,
77,77,0.05,820,2.25,1,500000.0,,34918.4,6.98368,,820.0,0.08729350715866531,0.01009983925506808,0.011678774353659795,9.417183538214823,65.76939536133276,
78,78,0.05,830,2.25,1,500000.0,,35070.0,7.014,,830.0,0.08722866522755339,0.01000784557474356,0.011803883244036271,9.520228880732542,66.76839151412693,
79,79,0.05,840,2.25,1,500000.0,,35366.0,7.0732,,840.0,0.09293367691625462,0.009808896325618446,0.011749388228215987,9.039433845879271,63.93977987404725,
80,80,0.05,850,2.25,1,500000.0,,35566.0,7.113200000000001,,850.0,0.08974216257724947,0.010283395806733422,0.011562113070125104,9.494838194935827,67.54161690828862,
81,81,0.05,860,2.25,1,500000.0,,35883.8,7.17676,,860.0,0.09281560259544222,0.010595867803739036,0.011764693252628392,9.278860690374147,66.59760948153244,
82,82,0.05,870,2.25,1,500000.0,,36113.4,7.222679999999999,,870.0,0.09317799833293064,0.010316740491298828,0.011700496100522435,9.338155156571313,67.4446749033324,
83,83,0.05,880,2.25,1,500000.0,,36196.0,7.239200000000001,,880.0,0.09558825525521117,0.01048990802698924,0.011468351959022405,9.221843003442457,66.75443262598688,
84,84,0.05,890,2.25,1,500000.0,,36554.0,7.310799999999999,,890.0,0.09565006610687304,0.010363746015051451,0.011801621522781563,9.30709150782789,68.04210760868017,
85,85,0.05,900,2.25,1,500000.0,,36730.2,7.346039999999999,,900.0,0.09849358830467737,0.010809999738205012,0.011803000981388824,9.17364867250011,67.3964521384946,
86,86,0.05,910,2.25,1,500000.0,,37031.8,7.406360000000001,,910.0,0.10125133948124584,0.010407137188045376,0.0116696650410893,9.01497379992465,66.75950490965948,
87,87,0.05,920,2.25,1,500000.0,,37361.0,7.472199999999998,,920.0,0.09826117778902697,0.010609094064687349,0.011582147346102684,9.365613190606243,69.98006852803296,
88,88,0.05,930,2.25,1,500000.0,,37395.0,7.479000000000002,,930.0,0.10290654439279479,0.010272466492081784,0.011870546787043244,9.04510744491311,67.64783130127324,
89,89,0.05,940,2.25,1,500000.0,,37658.4,7.531679999999999,,940.0,0.1040735517539133,0.01074405869301648,0.011657949383936833,9.055558609022084,68.20853289089874,
90,90,0.05,950,2.25,1,500000.0,,37953.8,7.59076,,950.0,0.10661235120373933,0.010746907648049303,0.011663345200218816,8.911744255650998,67.64891115938579,
91,91,0.05,960,2.25,1,500000.0,,38113.2,7.622639999999999,,960.0,0.10733500223373084,0.010055819032096309,0.011630639206695092,8.951288022441732,68.23841253427724,
92,92,0.05,970,2.25,1,500000.0,,38364.4,7.672880000000002,,970.0,0.10786761067083717,0.009940975290756712,0.011735692233795296,9.007994735529188,69.12543363497207,
93,93,0.05,980,2.25,1,500000.0,,38648.6,7.72972,,980.0,0.11215047068556032,0.010416895185777217,0.011496331976746967,8.753630580044524,67.65602432787026,
94,94,0.05,990,2.25,1,500000.0,,38696.4,7.73928,,990.0,0.11195680884793546,0.010225151172004414,0.011765831004288543,8.845627850841014,68.4551224033658,
95,95,0.05,1000,2.25,1,500000.0,,38952.8,7.790559999999998,,1000.0,0.11392704644865716,0.010132669481396135,0.011591757856903443,8.787636427707136,68.46289482859387,
96,96,0.05,1010,2.25,1,500000.0,,39139.8,7.82796,,1010.0,0.11885072752638733,0.010609888546378284,0.011618564003025092,8.508672332778065,66.60512596651337,
97,97,0.05,1020,2.25,1,500000.0,,39427.4,7.885480000000002,,1020.0,0.11596299324041864,0.010494744972322424,0.01167689682976305,8.822863546814684,69.57269182608648,
98,98,0.05,1030,2.25,1,500000.0,,39639.0,7.9278,,1030.0,0.12042406328155265,0.010761022030903695,0.011625597852718378,8.581727633370997,68.0366060040773,
99,99,0.05,1040,2.25,1,500000.0,,39830.4,7.96608,,1040.0,0.1208925923649076,0.010548290911290812,0.011617373973520612,8.60459337783302,68.543395131447,
100,100,0.05,1050,2.25,1,500000.0,,40144.4,8.02888,,1050.0,0.1224360081670511,0.010003290641787224,0.011709572961980047,8.582011629749719,68.90129729084049,
101,101,0.05,1060,2.25,1,500000.0,,40270.4,8.05408,,1060.0,0.1222732044703207,0.010797567585101956,0.011643769013339937,8.681577389506531,69.92418927743942,
102,102,0.05,1070,2.25,1,500000.0,,40522.2,8.10444,,1070.0,0.12600837315958416,0.01016386247520919,0.01173365679287368,8.513872936832817,69.00451076942463,
103,103,0.05,1080,2.25,1,500000.0,,40719.6,8.143919999999998,,1080.0,0.12318550083541593,0.0105418314275272,0.011593688244866129,8.773515774997241,71.44508192635661,
104,104,0.05,1090,2.25,1,500000.0,,40991.8,8.19836,,1090.0,0.1293718059839648,0.010409249692037688,0.011579229296756356,8.427108433134705,69.08654094953295,
105,105,0.05,1100,2.25,1,500000.0,,41261.4,8.25228,,1100.0,0.12859691229614328,0.01072926465017952,0.011848234966531436,8.566878064219297,70.70216715551881,
106,106,0.05,1110,2.25,1,500000.0,,41247.0,8.249399999999998,,1110.0,0.13092187237889447,0.010350624456800352,0.011839653742204182,8.505919653162502,70.16056977843873,
107,107,0.05,1120,2.25,1,500000.0,,41310.8,8.262160000000002,,1120.0,0.13617481259088887,0.010118221626375684,0.011703391903407514,8.23245010334901,68.01403068150998,
108,108,0.05,1130,2.25,1,500000.0,,41550.4,8.310080000000001,,1130.0,0.140215472896125,0.010225410906318016,0.011905357693702176,8.071303403569122,67.06690319992659,
109,109,0.05,1140,2.25,1,500000.0,,41874.8,8.374959999999998,,1140.0,0.13814959590708895,0.010292756989204637,0.011877102252414303,8.275990831701616,69.30030968205259,
110,110,0.05,1150,2.25,1,500000.0,,41970.0,8.394,,1150.0,0.13981166927324012,0.010445513552578084,0.01159754263992146,8.23521855007008,69.1235875879019,
111,111,0.05,1160,2.25,1,500000.0,,42264.0,8.4528,,1160.0,0.14895493817512034,0.009965959391013763,0.011625479796883404,7.797084678500184,65.90737997839237,
112,112,0.05,1170,2.25,1,500000.0,,42400.6,8.480119999999998,,1170.0,0.14193900434370335,0.010362244793315968,0.011816791807519047,8.247190291983646,69.93401510929702,
113,113,0.05,1180,2.25,1,500000.0,,42487.8,8.49756,,1180.0,0.13955282005531444,0.010482025813834043,0.011764226346136155,8.47003852422974,71.98669866998266,
114,114,0.05,1190,2.25,1,500000.0,,42893.6,8.57872,,1190.0,0.14961595737026984,0.010304404964681144,0.011687531021301194,7.958948032714157,68.27607645999606,
115,115,0.05,1200,2.25,1,500000.0,,43129.4,8.625879999999999,,1200.0,0.1481497400082389,0.010246495294664443,0.011758941359747312,8.128632970274014,70.1085611165104,
116,116,0.05,1210,2.25,1,500000.0,,43131.8,8.62636,,1210.0,0.15193554216120903,0.010384742902004076,0.01169555996249357,7.982227975994276,68.84732954265216,
117,117,0.05,1220,2.25,1,500000.0,,43538.6,8.707719999999998,,1220.0,0.1566163811056867,0.0105570765572146,0.011805576662756351,7.803251295128345,67.94709466625048,
118,118,0.05,1230,2.25,1,500000.0,,43670.6,8.73412,,1230.0,0.1595327276392254,0.010131603894314684,0.011530218717856132,7.718445952869944,67.41772830569309,
119,119,0.05,1240,2.25,1,500000.0,,43757.2,8.75144,,1240.0,0.15572827492987923,0.010789136055050637,0.01174243090388081,7.978845036773306,69.82764634755829,
120,120,0.05,1250,2.25,1,500000.0,,44208.2,8.84164,,1250.0,0.15326113239702863,0.010896425224033196,0.011719346895204309,8.159526893676697,72.14046725268481,
121,121,0.05,1260,2.25,1,500000.0,,44273.8,8.85476,,1260.0,0.15824859963681775,0.010337734575686356,0.011632589619203533,7.975316453233385,70.61781232531312,
122,122,0.05,1270,2.25,1,500000.0,,44294.2,8.85884,,1270.0,0.15985708282441918,0.010345584909146376,0.01175159607126164,7.966276533128088,70.56174279270708,
123,123,0.05,1280,2.25,1,500000.0,,44467.6,8.89352,,1280.0,0.15909435261514773,0.01048135333404366,0.011794765360933568,8.058351963239769,71.6617754874323,
124,124,0.05,1290,2.25,1,500000.0,,44598.8,8.91976,,1290.0,0.16580929116398693,0.01063085372082022,0.01183480941620176,7.795599155330806,69.52279623846104,
125,125,0.05,1300,2.25,1,500000.0,,44880.8,8.976159999999998,,1300.0,0.16247546161248466,0.010148618287364705,0.01164765080749948,8.014193781301866,71.94258522531503,
126,126,0.05,1310,2.25,1,500000.0,,45054.6,9.01092,,1310.0,0.17380182959586815,0.009882216999092664,0.011554407649127787,7.548334930793434,68.02529679123725,
127,127,0.05,1320,2.25,1,500000.0,,45258.8,9.051759999999998,,1320.0,0.1678463663369712,0.010380525944103571,0.011723094567063094,7.872092217423784,71.25963247737496,
128,128,0.05,1330,2.25,1,500000.0,,45294.6,9.058919999999999,,1330.0,0.17412453352112603,0.009973252575921219,0.011622044936799783,7.642415321697502,69.22698673692064,
129,129,0.05,1340,2.25,1,500000.0,,45648.4,9.12968,,1340.0,0.18206022777626457,0.010806260530725455,0.011622102118883152,7.370535118583103,67.29159577935759,
130,130,0.05,1350,2.25,1,500000.0,,45718.4,9.14368,,1350.0,0.1794398598796306,0.010108272157840192,0.011971748772895335,7.535795823182883,68.9065310921657,
131,131,0.05,1360,2.25,1,500000.0,,45999.0,9.1998,,1360.0,0.1791669239051316,0.009780333514462083,0.01179972422570392,7.61070073699612,70.01589546189125,
132,132,0.05,1370,2.25,1,500000.0,,46085.0,9.217000000000002,,1370.0,0.1893229829631764,0.009817475086572497,0.01181048013506284,7.2414195741414895,66.74948420973115,
133,133,0.05,1380,2.25,1,500000.0,,46284.0,9.256800000000002,,1380.0,0.1793021540317568,0.010543674570189747,0.011797518163068116,7.721185583698829,71.47271971470636,
134,134,0.05,1390,2.25,1,500000.0,,46469.0,9.2938,,1390.0,0.18276628598600836,0.010432038061610254,0.011866932039072018,7.631181754970947,70.93694918101434,
135,135,0.05,1400,2.25,1,500000.0,,46605.4,9.321079999999998,,1400.0,0.1950878679237576,0.010669513509177915,0.01144137423815436,7.187410146425653,66.99500950074597,
136,136,0.05,1410,2.25,1,500000.0,,46840.6,9.36812,,1410.0,0.1901854371539685,0.010607495026520284,0.01177408669115049,7.42826116366115,69.57967120402287,
137,137,0.05,1420,2.25,1,500000.0,,47127.0,9.4254,,1420.0,0.19009744263303216,0.010493247880779415,0.011786730941979084,7.476450668761855,70.47517788523649,
138,138,0.05,1430,2.25,1,500000.0,,47216.8,9.44336,,1430.0,0.19292618730992217,0.010224731435724404,0.011634968186587788,7.423544871629656,70.10333776387054,
139,139,0.05,1440,2.25,1,500000.0,,47336.6,9.46732,,1440.0,0.19546480861567944,0.010052700453837275,0.011781347196961096,7.371473190645069,69.78768783526425,
140,140,0.05,1450,2.25,1,500000.0,,47507.6,9.50152,,1450.0,0.19976846144977567,0.010060282140370348,0.011683631235229728,7.276517975618672,69.13712475971894,
141,141,0.05,1460,2.25,1,500000.0,,47760.2,9.55204,,1460.0,0.19447464535478504,0.009976810987076696,0.01180866018178842,7.512814338580755,71.77029105414623,
142,142,0.05,1470,2.25,1,500000.0,,47787.2,9.55744,,1470.0,0.20333847350052564,0.01025881344280391,0.011623112850926634,7.257348337934086,69.36581072140076,
143,143,0.05,1480,2.25,1,500000.0,,48033.8,9.60676,,1480.0,0.20642766488072084,0.01074514047491732,0.011812965173332012,7.175043520497683,68.92770887943693,
144,144,0.05,1490,2.25,1,500000.0,,48199.8,9.63996,,1490.0,0.20253927153112272,0.010483414539416952,0.011649501395858687,7.364597478409909,70.99596395450962,
145,145,0.05,1500,2.25,1,500000.0,,48379.0,9.6758,,1500.0,0.21096561643189488,0.010287993132123105,0.011615028058358364,7.112470536372152,68.82308535565076,
146,146,0.05,1510,2.25,1,500000.0,,48830.6,9.76612,,1510.0,0.20790346479798244,0.010335184853219695,0.011812245436615867,7.272010569146442,71.00882333439635,
147,147,0.05,1520,2.25,1,500000.0,,48548.0,9.709599999999998,,1520.0,0.21587509269206748,0.010484748912310963,0.011518980800859696,7.051182637436288,68.46233619710408,
148,148,0.05,1530,2.25,1,500000.0,,48965.2,9.79304,,1530.0,0.21872463462441372,0.01019755718717548,0.011710064325753364,7.0096017563293485,68.648641918789,
149,149,0.05,1540,2.25,1,500000.0,,49095.6,9.81912,,1540.0,0.21607368248132844,0.010805960164184676,0.01172577263333586,7.142035805803227,70.13096763319263,
