,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,M1.slopeErrorSag,PremirrorM2.slopeErrorMer,PremirrorM2.slopeErrorSag,PG.slopeErrorMer,PG.slopeErrorSag,M3.slopeErrorSag,M3.slopeErrorMer,KB_ver.slopeErrorMer,KB_ver.slopeErrorSag,KB_hor.slopeErrorMer,KB_hor.slopeErrorSag,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
34,34,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,,12099.0,6.049499999999999,500.0,0.0421662891987136,0.0072501912245469,0.0097815497463861,-0.0002778102474307,-2.424278036099034e-07,83923523167115.9,11.886568350402433,71.90353389145024,997503577541388.0,0.0018210660940843,0.0010183114014918
35,35,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,,12081.36,6.040680000000001,500.0,0.0418259310409712,0.0072356604939099,0.009644598803375,-0.0002795984717178,2.2498156090312303e-06,83801165042587.62,11.986693540374077,72.40759087113275,1004496260839501.0,0.0018184110311948,0.0010168267322528
36,36,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,,12072.5,6.036250000000001,500.0,0.042300623826793,0.0072988874344485,0.0096170640485311,-0.0002798591556315,-1.1938115689695937e-06,83739708524258.73,11.843207042423836,71.49101341341589,991780762119415.2,0.0018170774791993,0.0010160810310365
37,37,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,,12092.75,6.046375000000001,500.0,0.0421843816877981,0.0071523154015984,0.0095539596375364,-0.0002824887847032,6.43310528587372e-06,83880170657008.1,11.88019442648915,71.83171671888091,996507272037476.0,0.0018201253830265,0.001017785370724
38,38,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,,12088.72,6.044359999999999,500.0,0.0420704138358814,0.0071267553071215,0.0096402751377716,-0.0002771322652699,2.0233041862083526e-06,83852216958490.55,11.91115665933561,71.99400920447044,998758723756497.2,0.0018195188125365,0.001017446186085
39,39,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,12085.1,6.042550000000003,500.0,0.0421913156701248,0.0071971958980265,0.0096433807954668,-0.0002727819243659,3.716559694931416e-06,83827107184636.12,11.873340069240353,71.74250797119056,995269696633970.8,0.0018189739526918,0.0010171415090643
40,40,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,,12085.16,6.042580000000002,500.0,0.0424265044218714,0.0072183176652402,0.0096569762228227,-0.0002816629519113,1.0196492125845958e-06,83827523368733.19,11.80459200251851,71.3250827647025,989478838879241.2,0.001818982983518,0.0010171465589597
41,41,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,12086.98,6.04349,500.0,0.0422144582960026,0.0071684472114519,0.0096429445169252,-0.000279853305013,4.457435875768469e-06,83840147619676.52,11.865716848622087,71.70981220919208,994816114761163.6,0.001819256918578,0.0010172997391192
42,42,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,,12092.59,6.046294999999999,500.0,0.0424057672504204,0.0071742459473533,0.0096452362972739,-0.0002717506578408,8.742084400469278e-06,83879060832749.3,11.811892436418876,71.41847385964778,990774435163271.6,0.0018201013008235,0.0010177719043364
43,43,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,,12077.94,6.038969999999997,500.0,0.0424601974562392,0.0072776212000923,0.0096471079658263,-0.000277426452013,3.942896786499456e-06,83777442549056.6,11.797579965522118,71.24492249217333,988366791191220.4,0.001817896274104,0.0010165388882167
