,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
2036,2036,0.03,907.1999999999769,2.25,1,500000.0,,1920.0,0.384,907.1999999999769,0.0985535782956503,0.0115711044882266,0.0091360983268283,3503667900179.8125,9.206223693678456,3.5351301127001014,32255004944860.383,0.0001387389153165,7.578033239962454e-05
2037,2037,0.03,907.3999999999768,2.25,1,500000.0,,1918.0,0.3836,907.3999999999768,0.1053672773629159,0.0105700268332329,0.0093432159830683,3498846539189.5938,8.615137080230353,3.3051066211658067,30146144064438.46,0.0001385754779682,7.568800557467001e-05
2038,2038,0.03,907.5999999999768,2.25,1,500000.0,,1925.0,0.385,907.5999999999768,0.1008950842702915,0.0106161858491185,0.0095102456735422,3510440068876.159,9.008704166169586,3.4715952201239624,31654096009460.016,0.0001390622336674,7.595079708214351e-05
2039,2039,0.03,907.7999999999768,2.25,1,500000.0,,1933.5,0.3866999999999999,907.7999999999768,0.1034217778501442,0.0091883808518562,0.0093880000699668,3524759537452.722,8.8641035053677,3.430112439589515,31265377646698.656,0.0001396571890371,7.627265852720189e-05
2040,2040,0.03,907.9999999999768,2.25,1,500000.0,,1915.0,0.383,907.9999999999768,0.1039926408636233,0.0096921849381701,0.009704127023607,3489864268117.5244,8.73676201235062,3.3444462380614337,30474317030941.703,0.0001383020188551,7.552949028634496e-05
2041,2041,0.03,908.1999999999769,2.25,1,500000.0,,1958.5,0.3917,908.1999999999769,0.1019054297730689,0.0108057924080564,0.009593201519122,3567941498922.079,8.919994647881822,3.4965221477832853,31849339987174.22,0.0001414324938759,7.723148423644523e-05
2042,2042,0.03,908.3999999999768,2.25,1,500000.0,,1970.5,0.3941,908.3999999999768,0.1129681864662756,0.0103604237439588,0.0095513553868355,3588598990077.9995,8.045025697772875,3.1709129500221085,28873724968471.42,0.000142287885169,7.769091498988526e-05
2043,2043,0.03,908.5999999999768,2.25,1,500000.0,,1955.0,0.3909999999999999,908.5999999999768,0.0993836995751848,0.009709536833688,0.0089776457396731,3559176674585.884,9.146681547281736,3.5779458985801647,32569160064339.523,0.0001411575424207,7.706612323172597e-05
2044,2044,0.03,908.7999999999768,2.25,1,500000.0,,1924.5,0.3848999999999999,908.7999999999768,0.1010307253563951,0.0098930627759705,0.0093384935236268,3502474199580.891,9.002529733083108,3.468164194511467,31559250743535.1,0.0001389444051016,7.585034876000013e-05
2045,2045,0.03,908.9999999999768,2.25,1,500000.0,,1980.5,0.3961,908.9999999999768,0.09491254881965,0.0100757548976775,0.0092810399102791,3603180941764.9634,9.58102226107568,3.795176219518972,34523369413810.56,0.0001429762150728,7.804361736342993e-05
2046,2046,0.03,909.1999999999769,2.25,1,500000.0,,1922.0,0.3843999999999999,909.1999999999769,0.107318675304782,0.0106259886144311,0.0096726037311651,3495576048952.0225,8.49982296817917,3.2738525689449656,29771073433413.305,0.0001387328144579,7.572491022069639e-05
2047,2047,0.03,909.3999999999768,2.25,1,500000.0,,1952.0,0.3903999999999999,909.3999999999768,0.0969459799997593,0.0094737758790236,0.0095901847446616,3548945112238.111,9.452531243393256,3.6866370650389175,33513505616203.176,0.0001408777665577,7.689321125442057e-05
2048,2048,0.03,909.5999999999768,2.25,1,500000.0,,1946.5,0.3893,909.5999999999768,0.1002658842078289,0.0116030729806433,0.0091207527301624,3537756405450.328,9.156472569385338,3.56611094115514,32406965899352.92,0.0001404603836268,7.666291991008245e-05
2049,2049,0.03,909.7999999999768,2.25,1,500000.0,,1996.5,0.3993,909.7999999999768,0.0960365460189791,0.0101868091123464,0.0094695478083593,3627411554182.614,9.479963932304669,3.787507072903044,34407330122206.043,0.0001440474322616,7.861818041218793e-05
2050,2050,0.03,909.9999999999768,2.25,1,500000.0,,1923.5,0.3847,909.9999999999768,0.1054534462092533,0.0100893516275142,0.0095162281343374,3493603858474.8823,8.674314265170672,3.340816182156155,30339194968640.68,0.000138760267467,7.573010360365336e-05
2051,2051,0.03,910.1999999999766,2.25,1,500000.0,,1987.5,0.3974999999999999,910.1999999999766,0.1111902684199321,0.0098627739493718,0.0095412359320383,3608631257237.115,8.18819390289677,3.253848587115476,29539470988130.14,0.0001433625450263,7.823542630625431e-05
2052,2052,0.03,910.3999999999768,2.25,1,500000.0,,2019.5,0.4038999999999999,910.3999999999768,0.109693797421471,0.0103528466893495,0.009289425115262,3665498776742.009,8.301930765189738,3.35299250172268,30429289213888.61,0.000145655880924,7.948040843038475e-05
2053,2053,0.03,910.5999999999768,2.25,1,500000.0,,1898.5,0.3797,910.5999999999768,0.1048100590659828,0.0094698446093582,0.0092976955703946,3444717614713.6504,8.698837809186731,3.300472854511757,29942578295551.48,0.0001369147836885,7.470449110151225e-05
2054,2054,0.03,910.7999999999766,2.25,1,500000.0,,1962.5,0.3925,910.7999999999766,0.1027508834545755,0.0099040564711651,0.009537583661996,3559642993112.5376,8.864573254137738,3.479921825833133,31559947373009.688,0.0001415158093995,7.72085886666135e-05
2055,2055,0.03,910.9999999999766,2.25,1,500000.0,,1907.0,0.3813999999999999,910.9999999999766,0.0992010726386638,0.0110689185569269,0.0094433246916832,3457810395328.545,9.3110948607724,3.5362021576438663,32059561040073.914,0.000137499624769,7.501125654276947e-05
2056,2056,0.03,911.1999999999766,2.25,1,500000.0,,1983.5,0.3967,911.1999999999766,0.1101565906247969,0.0088955630933297,0.0096930497607654,3595294792713.2607,8.279615034316302,3.285207407112692,29773857029935.203,0.0001429969940082,7.800561682723723e-05
2057,2057,0.03,911.3999999999768,2.25,1,500000.0,,1984.0,0.3968,911.3999999999768,0.0987229738046835,0.0101049499938102,0.0094374768156657,3594965301816.874,9.24177785156375,3.670643399178061,33255634212168.04,0.0001430142094727,7.801034298705225e-05
2058,2058,0.03,911.5999999999766,2.25,1,500000.0,,1939.5,0.3878999999999999,911.5999999999766,0.1122588582171601,0.0088517237347058,0.0094087579137639,3513124186045.26,8.120805674922181,3.150007289332524,28528916716609.844,0.0001397880648826,7.624600815460965e-05
2059,2059,0.03,911.7999999999764,2.25,1,500000.0,,1947.0,0.3893999999999999,911.7999999999764,0.0975682075680879,0.0096793428393275,0.0096618035705262,3525496607985.768,9.378976105482629,3.652735655019805,33070639860403.17,0.0001403101263119,7.652618181209364e-05
2060,2060,0.03,911.9999999999766,2.25,1,500000.0,,1911.0,0.3822,911.9999999999766,0.1096118911051462,0.0098313360380772,0.0091945553501021,3459119908604.6514,8.330183505841262,3.184543478970605,28821867472329.52,0.0001376976328527,7.5096812883739e-05
2061,2061,0.03,912.1999999999766,2.25,1,500000.0,,1964.0,0.3927999999999999,912.1999999999766,0.0987006635748456,0.0109603262483233,0.0093468603955662,3553832396246.8994,9.257106716749076,3.635669465962361,32893482510648.43,0.0001415009371809,7.716475578801691e-05
2062,2062,0.03,912.3999999999766,2.25,1,500000.0,,1942.5,0.3885,912.3999999999766,0.1124196426244452,0.0107817461444409,0.0096621826963209,3513718484428.171,8.116024005181336,3.153053918571469,28517229951308.234,0.0001399364583056,7.630538228472076e-05
2063,2063,0.03,912.5999999999764,2.25,1,500000.0,,2003.5,0.4007,912.5999999999764,0.0950989869833165,0.0093168987275085,0.0091826811790853,3622811255879.564,9.599270183405268,3.8468485061953466,34780149907431.96,0.0001443149048311,7.868647546151812e-05
2064,2064,0.03,912.7999999999764,2.25,1,500000.0,,1996.5,0.3993,912.7999999999764,0.0962377084188687,0.0108115164457704,0.0095737075254183,3608909989878.365,9.48514161858839,3.787147732380271,34228588240752.21,0.0001437947788713,7.839649024080119e-05
2065,2065,0.03,912.9999999999766,2.25,1,500000.0,,1958.0,0.3916,912.9999999999766,0.1008138119810268,0.0117068600966374,0.0092273495922238,3538097087562.5303,9.082193645886228,3.555908093205952,32127548693084.805,0.0001410062700522,7.686993450293083e-05
2066,2066,0.03,913.1999999999764,2.25,1,500000.0,,1989.0,0.3978,913.1999999999764,0.0988398448567977,0.0100511990352691,0.0090995346360371,3592875040487.269,9.24173818327018,3.675657389420589,33198033413353.016,0.0001432228143806,7.807196013300647e-05
2067,2067,0.03,913.3999999999764,2.25,1,500000.0,,1903.0,0.3806,913.3999999999764,0.1053153225215055,0.0105965791527768,0.0092818145106259,3436341661130.105,8.788935239620502,3.3482988981609187,30230948496233.29,0.0001370149207859,7.468192836885336e-05
2068,2068,0.03,913.5999999999764,2.25,1,500000.0,,1952.5,0.3904999999999999,913.5999999999764,0.1104852508943281,0.0104597836051676,0.0096713630377843,3524510099920.2866,8.28868340453073,3.2409744809976004,29251849659052.37,0.0001405632355917,7.660977221673166e-05
2069,2069,0.03,913.7999999999764,2.25,1,500000.0,,1953.5,0.3907,913.7999999999764,0.1129632689949744,0.0099856500455615,0.0091045335771335,3525098432960.813,8.096133182074524,3.160933800082245,28519587369753.742,0.0001406195545426,7.663424725532598e-05
2070,2070,0.03,913.9999999999764,2.25,1,500000.0,,1914.5,0.3829,913.9999999999764,0.1011112102307833,0.0085976064476223,0.0094649694552338,3453530278079.597,9.042391454422969,3.4618028710186906,31223403060344.547,0.000137796835533,7.508983692547125e-05
2071,2071,0.03,914.1999999999764,2.25,1,500000.0,,1979.5,0.3958999999999999,914.1999999999764,0.0945677490486787,0.009402548153962,0.009367907468969,3569549557975.789,9.790926178944927,3.887786963611005,35053418129481.44,0.0001424540412679,7.762427644774768e-05
2072,2072,0.03,914.3999999999764,2.25,1,500000.0,,1977.0,0.3954,914.3999999999764,0.1017130849973,0.0104914480530892,0.0096808151644546,3563809981114.1406,9.183161419003875,3.621166153610501,32638209614339.41,0.0001422529550981,7.751128826180055e-05
2073,2073,0.03,914.5999999999764,2.25,1,500000.0,,1996.5,0.3993,914.5999999999764,0.1017086388028473,0.0114294764844313,0.0094547771630172,3597717791834.844,8.993597491957892,3.5916195219649967,32360714890244.992,0.0001436346652939,7.826071030786975e-05
2074,2074,0.03,914.7999999999764,2.25,1,500000.0,,1949.0,0.3898,914.7999999999764,0.1033776441519194,0.0109964294532698,0.0094266120639039,3510908211180.0195,8.89359388093386,3.460684548093601,31170204710635.293,0.0001401964706515,7.638400982152947e-05
2075,2075,0.03,914.9999999999764,2.25,1,500000.0,,1946.5,0.3893,914.9999999999764,0.1096919964471112,0.0098273295741092,0.0090273717215361,3505192303713.46,8.452587763430051,3.2906893004883955,29628817903889.426,0.0001399957668911,7.627129557723425e-05
2076,2076,0.03,915.1999999999764,2.25,1,500000.0,,1953.0,0.3905999999999999,915.1999999999764,0.1057686377970412,0.0106445938550435,0.0093250357002935,3515680804671.7344,8.668233219243884,3.379895939231313,30421493280449.24,0.0001404443075635,7.65112008698797e-05
2077,2077,0.03,915.3999999999764,2.25,1,500000.0,,1931.0,0.3862,915.3999999999764,0.1001332442414764,0.0098445888639065,0.0091354245390622,3474874862487.664,9.145331392635931,3.531819448980853,31777914609292.08,0.000138843496226,7.563469617281188e-05
